gene_id,ERR3333392,ERR3333393,ERR3333413,ERR3333414,ERR3333415,ERR3333416,ERR3333417,ERR3333418,ERR3333419,ERR3333420,ERR3333422,ERR3333423,ERR3333424,ERR3333425,logMaxTPM
AT1G01010,15.5858,13.4085,11.0055,13.0791,7.11422,8.7652,4.86114,5.16119,3.26178,3.60497,5.1054,3.34023,3.92258,6.87751,1.2197364241344446
AT1G01020,4.954539,6.770038,19.362735,15.50511,15.87805,17.644194,15.010291,16.113331,17.30621,20.536098,15.338808,21.72259,22.8722,25.79795,1.42810157247131
AT1G01030,3.88531,2.808767,4.089426,4.62543,2.450202,2.40461,3.30662,2.268607,1.83985,1.42649,1.52171,2.08334,2.28708,8.262227,0.9667154205403314
AT1G01040,7.55619,12.58938,18.81253,13.01228,15.64142,15.73279,11.31894,12.06708,8.90459,12.47463,13.15274,14.38772,13.90013,13.7891,1.2969399371681154
AT1G01050,92.291727,104.693,172.204,145.581,120.312202,136.919,103.382388,91.0545,82.3642,86.217829,99.7123,97.6208,99.7121,93.691026,2.2385579174611667
AT1G01060,32.5454000262461,22.9900939336,138.75031,106.213040809688,75.592886000154,86.154255,63.367442,71.692196,19.977198,16.6307455,13.074902,43.517538,47.44102881,9.271821,2.1453527799297674
AT1G01070,5.818514,9.93293,4.56472,16.52942,16.80924,19.09417,17.61445,9.48161,1.762635,0.717858,2.8561,0.491522,0.558949,0.0646852,1.3030700721421635
AT1G01080,48.1086,53.72914,59.06605,46.85381,65.24353,69.97811,67.55714,74.98261,75.7484,101.7553,85.25981,111.8057,119.6626,127.8743,2.1101663193626656
AT1G01090,93.9867,105.735,76.7484,65.887,83.4816,89.2347,87.4463,91.0974,100.744,115.041,99.4043,114.458,116.078,136.956,2.139740593617128
AT1G01100,124.20273,129.4961,212.87544,223.24614,218.88661,201.77418,176.84238,190.54732,250.21348,249.9658,213.28054,321.7784,343.56263,502.67383,2.702149386271943
AT1G01110,2.6497,3.34099,0.297841,0.43099,0.938882,0.760149,1.21967,1.715985,1.35863,1.561493,2.095569,3.023471,2.376004,1.824029,0.6375887853895358
AT1G01120,283.858,236.998,7.20903,5.50411,18.4428,21.3071,37.1904,35.2827,25.2657,95.4158,48.52,18.9156,19.0364,54.6339,2.4546284207632714
AT1G01130,5.46756,9.01367,1.87959,2.19538,1.75373,3.23322,1.90646,4.15185,3.50475,14.3448,10.5409,4.69648,5.58522,6.43215,1.185961232327149
AT1G01140,139.6812,83.92684,245.50273,168.3017,224.6523,178.6063,137.39007,123.5265,159.51473,69.58858,186.7484,123.93266,135.06543,42.68938,2.3918217334200245
AT1G01150,0.0,0.0,0.0,0.0451388,0.0408431,0.0444775,0.044115,0.0308039,0.0339548,0.0408729,0.0450728,0.127419,0.115015,0.195811,0.07766254408106088
AT1G01160,33.16914,41.56311,55.8232,45.62974,37.98143,41.09194,30.20296,30.03258,30.02556,32.64584,27.90076,34.58705,33.03836,40.40842,1.7545256873807513
AT1G01170,204.16874,226.41392,318.5739,234.19736,278.28041,273.3529,275.54414,237.02731,243.15571,223.3709,195.17557,209.82658,216.28376,257.859,2.504571302716921
AT1G01180,20.2649,17.5555,26.4896,24.8605,19.1947,18.5776,16.5868,15.146,12.087,8.48733,9.94007,4.20344,3.56131,2.15853,1.4391684204889164
AT1G01190,1.42269,1.440844,0.852199,3.47928,4.24537,3.48307,1.973143,3.31663,3.95312,3.94629,3.58534,4.98513,4.19482,0.549042,0.7770735879369979
AT1G01200,0.817919,0.703236,0.124326,0.255842,0.463126,0.378152,0.833565,0.873078,0.900779,1.66021,0.72377,1.52491,1.0562,1.59822,0.4249159216841935
AT1G01210,14.29812,16.35136,30.77391,23.21956,25.63063,21.91123,15.22019,19.74065,15.41772,23.43957,19.94841,26.33702,26.04797,38.6751,1.5985180300555804
AT1G01220,9.54003213038748,13.5777974795406,16.2124400471408,12.9649542004639,15.75739340531,18.13481762773,14.7998469901815,13.4062130418203,15.205904868,16.9366700060391,15.786104368,15.7199380191885,15.78730003664,18.5538800050117,1.2912329457510494
AT1G01225,3.47962,4.6216,0.52136,1.51283,2.16274,2.93311,4.00558,3.56276,4.24093,4.41905,4.58109,8.26328,8.19015,7.9035,0.9667647916144875
AT1G01230,65.2798,66.0297,63.6131,72.0119,70.7531,71.4372,65.9618,58.4389,51.1414,60.2671,65.2911,49.5462,54.3011,40.3262,1.8633936503005177
