file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
3_Zm00001eb145360_gene:174689294-174688377_260205_171536_292813,3_Zm00001eb145360_gene:174689294-174688377_260205_171536_292813,91,45.0,45.0,112,89,1184:89;1058:87;1201:87
2_Zm00001eb071230_gene:11386081-11383455_260205_171435_455315,2_Zm00001eb071230_gene:11386081-11383455_260205_171435_455315,91,45.0,45.0,117,86,1235:86;1177:82;1181:82
9_Zm00001eb394060_gene:132595491-132599370_260205_195631_022376,9_Zm00001eb394060_gene:132595491-132599370_260205_195631_022376,110,49.518181818181816,51.5,110,109,1180:109;1216:108;1208:107
1_Zm00001eb039880_gene:210953321-210952356_260205_162006_399916,1_Zm00001eb039880_gene:210953321-210952356_260205_162006_399916,94,45.202127659574465,45.5,101,93,1252:93;1267:91;1284:91
1_Zm00001eb016640_gene:58790622-58805167_260205_162006_399812,1_Zm00001eb016640_gene:58790622-58805167_260205_162006_399812,91,45.0,45.0,102,84,1303:84;1375:82;1380:82
1_Zm00001eb027720_gene:140973273-140967581_260205_162006_399834,1_Zm00001eb027720_gene:140973273-140967581_260205_162006_399834,105,49.34285714285714,51.0,110,104,1299:104;1332:103;1285:102
4_Zm00001eb181410_gene:111283533-111284982_260205_180647_752242,4_Zm00001eb181410_gene:111283533-111284982_260205_180647_752242,91,45.0,45.0,117,84,1201:84;1217:84;1222:84
4_Zm00001eb174050_gene:40907305-40901229_260205_180606_134445,4_Zm00001eb174050_gene:40907305-40901229_260205_180606_134445,91,45.0,45.0,104,89,1123:89;1139:88;1140:88
5_Zm00001eb223490_gene:37506987-37494541_260205_181115_981132,5_Zm00001eb223490_gene:37506987-37494541_260205_181115_981132,105,48.75238095238095,52.0,102,104,1227:104;1193:103;1201:102
9_Zm00001eb375020_gene:15885539-15884866_260205_195321_218791,9_Zm00001eb375020_gene:15885539-15884866_260205_195321_218791,92,45.48913043478261,45.5,112,83,1107:83;1110:83;1113:83
3_Zm00001eb158360_gene:219797033-219806504_260205_180406_673537,3_Zm00001eb158360_gene:219797033-219806504_260205_180406_673537,91,45.0,45.0,107,83,1290:83;1291:83;1305:83
10_Zm00001eb419060_gene:98307625-98308866_260205_171323_950489,10_Zm00001eb419060_gene:98307625-98308866_260205_171323_950489,92,45.34782608695652,45.5,117,91,1206:91;1321:89;1176:88
7_Zm00001eb301180_gene:9508066-9507628_260205_190304_228136,7_Zm00001eb301180_gene:9508066-9507628_260205_190304_228136,90,44.55555555555556,44.5,113,83,1101:83;1104:82;1137:82
8_Zm00001eb366650_gene:172906240-172903924_260205_194804_492387,8_Zm00001eb366650_gene:172906240-172903924_260205_194804_492387,91,45.0,45.0,115,88,1262:88;1277:88;1276:87
2_Zm00001eb117690_gene:241361253-241363418_260205_171455_900440,2_Zm00001eb117690_gene:241361253-241363418_260205_171455_900440,91,45.0,45.0,124,87,1330:88;1133:87;1332:87
8_Zm00001eb356980_gene:142174240-142169595_260205_195023_338720,8_Zm00001eb356980_gene:142174240-142169595_260205_195023_338720,98,47.285714285714285,48.5,102,97,1191:97;1176:96;1213:94
6_Zm00001eb271000_gene:84325957-84326421_260205_185422_786313,6_Zm00001eb271000_gene:84325957-84326421_260205_185422_786313,91,45.0,45.0,102,85,1205:85;1227:85;1231:85
7_Zm00001eb298790_gene:2369631-2371252_260205_190310_842981,7_Zm00001eb298790_gene:2369631-2371252_260205_190310_842981,91,45.0,45.0,129,86,1233:86;1250:86;1260:86
10_Zm00001eb414910_gene:73564824-73566176_260205_171321_761416,10_Zm00001eb414910_gene:73564824-73566176_260205_171321_761416,95,46.189473684210526,47.0,101,94,1129:94;1156:93;1113:91
6_Zm00001eb266960_gene:46828842-46830572_260205_190212_986379,6_Zm00001eb266960_gene:46828842-46830572_260205_190212_986379,91,45.0,45.0,122,88,1286:88;1265:84;1439:84
1_Zm00001eb009610_gene:29968953-29975857_260205_162006_400057,1_Zm00001eb009610_gene:29968953-29975857_260205_162006_400057,90,44.51111111111111,44.5,104,87,1141:88;1138:87;1174:83
9_Zm00001eb386820_gene:98122331-98123000_260205_195158_588395,9_Zm00001eb386820_gene:98122331-98123000_260205_195158_588395,90,44.5,44.5,105,85,1268:86;1282:85;1289:85
10_Zm00001eb421930_gene:116703177-116706315_260205_171159_382700,10_Zm00001eb421930_gene:116703177-116706315_260205_171159_382700,94,46.08510638297872,46.5,112,92,1135:92;1127:91;1122:90
6_Zm00001eb262400_gene:17495185-17490785_260205_190107_179814,6_Zm00001eb262400_gene:17495185-17490785_260205_190107_179814,90,44.63333333333333,44.5,122,86,1158:86;1161:86;1150:81
10_Zm00001eb433670_gene:150371812-150367842_260205_171318_230895,10_Zm00001eb433670_gene:150371812-150367842_260205_171318_230895,92,45.41304347826087,45.5,112,91,1315:91;1324:88;1437:85
1_Zm00001eb030330_gene:167063933-167069025_260205_162006_399921,1_Zm00001eb030330_gene:167063933-167069025_260205_162006_399921,91,45.0,45.0,111,86,1382:86;1384:86;1389:86
9_Zm00001eb378890_gene:27837365-27838716_260205_195651_850373,9_Zm00001eb378890_gene:27837365-27838716_260205_195651_850373,113,50.823008849557525,55.0,105,111,1220:112;1219:111;1214:108
3_Zm00001eb139490_gene:144576485-144590871_260205_180254_454413,3_Zm00001eb139490_gene:144576485-144590871_260205_180254_454413,107,50.38317757009346,53.0,98,104,1215:104;1216:104;1161:103
3_Zm00001eb143660_gene:164887798-164893906_260205_180455_486921,3_Zm00001eb143660_gene:164887798-164893906_260205_180455_486921,98,47.795918367346935,48.5,105,94,1113:97;1152:95;1154:94
8_Zm00001eb336560_gene:17448827-17446356_260205_195117_055114,8_Zm00001eb336560_gene:17448827-17446356_260205_195117_055114,92,45.22826086956522,45.5,122,88,540:88;512:85;536:77
8_Zm00001eb344240_gene:73998164-73997215_260205_190622_305639,8_Zm00001eb344240_gene:73998164-73997215_260205_190622_305639,91,45.0,45.0,110,90,1324:90;1301:89;1343:87
8_Zm00001eb368640_gene:176586254-176583214_260205_194931_156453,8_Zm00001eb368640_gene:176586254-176583214_260205_194931_156453,93,45.55913978494624,46.0,107,90,1131:92;1184:90;1175:89
9_Zm00001eb397020_gene:143827986-143847918_260205_195652_350373,9_Zm00001eb397020_gene:143827986-143847918_260205_195652_350373,113,50.73451327433628,56.0,104,112,1148:112;1270:111;1164:109
5_Zm00001eb240160_gene:159176872-159167469_260205_180858_746048,5_Zm00001eb240160_gene:159176872-159167469_260205_180858_746048,186,61.30107526881721,69.0,125,182,1254:182;1259:182;1265:182
9_Zm00001eb400980_gene:154751110-154746930_260205_195632_662714,9_Zm00001eb400980_gene:154751110-154746930_260205_195632_662714,97,47.329896907216494,48.0,101,95,1289:96;1128:95;1153:94
2_Zm00001eb094040_gene:156950830-156948039_260205_171350_971000,2_Zm00001eb094040_gene:156950830-156948039_260205_171350_971000,91,45.0,45.0,114,85,1332:85;1342:85;1304:84
8_Zm00001eb351080_gene:117872588-117868988_260205_194949_839218,8_Zm00001eb351080_gene:117872588-117868988_260205_194949_839218,99,47.101010101010104,48.0,128,98,1256:98;1274:97;1167:96
1_Zm00001eb052700_gene:265550186-265547550_260205_162006_400441,1_Zm00001eb052700_gene:265550186-265547550_260205_162006_400441,91,45.0,45.0,110,89,1144:89;1145:89;1156:86
8_Zm00001eb359030_gene:149935019-149936675_260205_194751_623136,8_Zm00001eb359030_gene:149935019-149936675_260205_194751_623136,91,45.0,45.0,106,87,1281:87;1231:84;1248:84
4_Zm00001eb202570_gene:222112764-222115449_260205_180653_497845,4_Zm00001eb202570_gene:222112764-222115449_260205_180653_497845,91,44.91208791208791,45.0,113,89,1346:89;1334:87;1335:87
