file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
3_AT3G12750_gene:4053201-4051650_260313_012827_375156,3_AT3G12750_gene:4053201-4051650_260313_012827_375156,91,45.0,45.0,108,90,1191:90;1202:89;1205:86
4_AT4G04620_gene:2330590-2328441_260313_022825_505400,4_AT4G04620_gene:2330590-2328441_260313_022825_505400,91,45.0,45.0,107,90,1303:90;1259:87;1353:87
4_AT4G25490_gene:13022996-13021779_260313_022722_624736,4_AT4G25490_gene:13022996-13021779_260313_022722_624736,91,45.0,45.0,108,90,1277:90;1248:89;1286:88
5_AT5G24800_gene:8515199-8516669_260313_042942_185651,5_AT5G24800_gene:8515199-8516669_260313_042942_185651,91,45.0,45.0,101,87,1134:87;1138:87;1150:87
5_AT5G47770_gene:19345109-19347677_260313_045456_684504,5_AT5G47770_gene:19345109-19347677_260313_045456_684504,92,45.41304347826087,45.5,102,90,1176:90;1185:89;1194:89
4_AT4G29130_gene:14355201-14352036_260313_022135_368523,4_AT4G29130_gene:14355201-14352036_260313_022135_368523,93,45.03225806451613,45.0,109,92,1172:92;1118:91;1102:90
3_AT3G50630_gene:18800305-18801595_260313_005858_087937,3_AT3G50630_gene:18800305-18801595_260313_005858_087937,94,45.87234042553192,46.5,97,91,1151:93;1133:92;1103:91
3_AT3G02610_gene:555625-557723_260313_021834_619879,3_AT3G02610_gene:555625-557723_260313_021834_619879,91,45.0,45.0,120,89,882:89;871:88;872:88
4_AT4G24020_gene:12479527-12484049_260313_024826_441563,4_AT4G24020_gene:12479527-12484049_260313_024826_441563,95,46.56842105263158,47.0,106,92,1313:93;1323:92;1360:84
1_AT1G07867_gene:19807113-19806916_260312_233136_035898,1_AT1G07867_gene:19807113-19806916_260312_233136_035898,91,45.0,45.0,117,87,850:87;858:86;854:84
2_AT2G47160_gene:19361328-19357419_260312_233705_957235,2_AT2G47160_gene:19361328-19357419_260312_233705_957235,91,45.0,45.0,100,87,1092:89;1115:87;1209:86
1_AT1G10370_gene:3398358-3396882_260312_220349_613364,1_AT1G10370_gene:3398358-3396882_260312_220349_613364,92,45.32608695652174,45.5,118,90,1171:90;1292:85;1112:83
2_AT2G47060_gene:19335163-19332824_260312_234318_251822,2_AT2G47060_gene:19335163-19332824_260312_234318_251822,94,46.255319148936174,46.5,108,93,1154:93;1114:91;1137:91
1_AT1G78420_gene:29504531-29507680_260312_220349_615675,1_AT1G78420_gene:29504531-29507680_260312_220349_615675,91,45.0,45.0,107,84,1272:84;1273:84;1278:84
4_AT4G34460_gene:16479620-16477030_260313_023441_358735,4_AT4G34460_gene:16479620-16477030_260313_023441_358735,95,46.33684210526316,47.0,102,94,1253:94;1295:93;1329:91
2_AT2G36790_gene:15421866-15420172_260312_234218_577311,2_AT2G36790_gene:15421866-15420172_260312_234218_577311,95,46.27368421052632,47.0,105,85,1192:85;1212:85;1214:85
4_AT4G29740_gene:14566182-14569380_260313_023538_558551,4_AT4G29740_gene:14566182-14569380_260313_023538_558551,95,46.34736842105263,47.0,102,91,1303:91;1142:89;1118:86
5_AT5G19310_gene:6498742-6503692_260313_034449_642951,5_AT5G19310_gene:6498742-6503692_260313_034449_642951,94,46.38297872340426,46.5,106,92,1257:93;1266:92;1139:91
5_AT5G40360_gene:16144791-16146671_260313_044233_360286,5_AT5G40360_gene:16144791-16146671_260313_044233_360286,91,45.0,45.0,107,87,1280:88;1235:87;1323:83
1_AT1G64280_gene:23855658-23852747_260312_232855_595586,1_AT1G64280_gene:23855658-23852747_260312_232855_595586,96,46.208333333333336,46.5,102,95,1268:95;1289:94;1173:93
5_AT5G66400_gene:26519447-26518276_260313_031355_424003,5_AT5G66400_gene:26519447-26518276_260313_031355_424003,92,45.15217391304348,45.5,103,90,1213:90;1216:90;1669:90
2_AT2G41225_gene:17191486-17190977_260312_233239_425518,2_AT2G41225_gene:17191486-17190977_260312_233239_425518,91,45.0,45.0,112,88,823:88;820:87;880:85
1_AT1G16540_gene:5659369-5665488_260312_220349_615525,1_AT1G16540_gene:5659369-5665488_260312_220349_615525,91,45.0,45.0,105,90,1133:90;1122:86;1124:86
1_AT1G69970_gene:26354613-26352562_260312_220349_608670,1_AT1G69970_gene:26354613-26352562_260312_220349_608670,91,45.0,45.0,116,86,1201:89;1180:86;1189:86
2_AT2G41510_gene:17314411-17317354_260312_233754_702782,2_AT2G41510_gene:17314411-17317354_260312_233754_702782,92,45.40217391304348,45.5,112,88,1196:88;1204:88;1225:88
4_AT4G21980_gene:11655561-11657034_260313_024412_052461,4_AT4G21980_gene:11655561-11657034_260313_024412_052461,94,46.0531914893617,46.5,109,93,1213:93;1166:89;1224:89
4_AT4G25470_gene:13016235-13015249_260313_024359_919367,4_AT4G25470_gene:13016235-13015249_260313_024359_919367,91,45.0,45.0,115,88,1217:88;1220:88;1223:88
