file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
1_AT1G10370_gene:3398358-3396882_260312_220349_583448,1_AT1G10370_gene:3398358-3396882_260312_220349_583448,91,45.0,45.0,109,89,1159:89;1027:87;1198:87
4_AT4G25470_gene:13016235-13015249_260313_023126_884573,4_AT4G25470_gene:13016235-13015249_260313_023126_884573,91,45.0,45.0,114,88,1256:90;1252:88;1287:88
3_AT3G47340_gene:17441431-17437839_260313_010005_968621,3_AT3G47340_gene:17441431-17437839_260313_010005_968621,91,45.0,45.0,106,90,1080:90;1189:89;1135:87
1_AT1G78290_gene:29459493-29457204_260312_220349_609083,1_AT1G78290_gene:29459493-29457204_260312_220349_609083,89,44.10112359550562,44.0,104,87,1257:88;1286:87;1272:86
3_AT3G26744_gene:9835279-9832666_260313_010405_705304,3_AT3G26744_gene:9835279-9832666_260313_010405_705304,92,45.19565217391305,45.5,107,90,1094:91;1119:90;1101:88
3_AT3G47500_gene:17506124-17503882_260313_010036_738757,3_AT3G47500_gene:17506124-17503882_260313_010036_738757,91,45.0,45.0,110,90,1221:90;1210:89;1257:87
1_AT1G26770_gene:9259431-9261313_260312_233122_172391,1_AT1G26770_gene:9259431-9261313_260312_233122_172391,91,45.0,45.0,108,88,1394:90;1364:88;1144:80
1_AT1G15690_gene:5398925-5402733_260312_220349_623117,1_AT1G15690_gene:5398925-5402733_260312_220349_623117,91,45.0,45.0,103,89,1251:89;1253:89;1001:88
4_AT4G24020_gene:12479527-12484049_260313_023545_888432,4_AT4G24020_gene:12479527-12484049_260313_023545_888432,91,45.0,45.0,103,89,1373:89;1341:88;1363:87
2_AT2G19500_gene:8447355-8444203_260312_233309_622963,2_AT2G19500_gene:8447355-8444203_260312_233309_622963,91,45.0,45.0,110,88,1058:90;1468:88;1479:88
3_AT3G28730_gene:10784887-10788729_260313_010618_802841,3_AT3G28730_gene:10784887-10788729_260313_010618_802841,91,45.0,45.0,110,86,1361:86;1375:86;1392:86
2_AT2G26300_gene:11196995-11201102_260313_005454_052733,2_AT2G26300_gene:11196995-11201102_260313_005454_052733,92,45.47826086956522,45.5,108,90,1181:91;1186:90;1392:89
5_AT5G19310_gene:6498742-6503692_260313_034934_900711,5_AT5G19310_gene:6498742-6503692_260313_034934_900711,91,45.0,45.0,102,90,1493:90;1163:89;1022:88
1_AT1G31812_gene:11412233-11410765_260312_220349_611468,1_AT1G31812_gene:11412233-11410765_260312_220349_611468,92,45.44565217391305,45.5,117,83,979:83;1034:83;1160:83
4_AT4G29740_gene:14566182-14569380_260313_023106_276756,4_AT4G29740_gene:14566182-14569380_260313_023106_276756,91,44.86813186813187,44.0,108,89,1112:90;1141:89;1130:88
3_AT3G50630_gene:18800305-18801595_260313_005923_003876,3_AT3G50630_gene:18800305-18801595_260313_005923_003876,92,45.15217391304348,45.5,105,90,1255:90;996:87;998:87
1_AT1G70710_gene:26663337-26659128_260312_220349_581459,1_AT1G70710_gene:26663337-26659128_260312_220349_581459,92,45.48913043478261,45.5,108,91,1202:91;1445:90;1024:87
3_AT3G51830_gene:19220115-19225280_260313_010022_590676,3_AT3G51830_gene:19220115-19225280_260313_010022_590676,91,45.0,45.0,101,90,1140:90;1109:87;1146:86
1_AT1G73360_gene:27582685-27578420_260312_220349_612189,1_AT1G73360_gene:27582685-27578420_260312_220349_612189,90,44.55555555555556,44.5,108,84,1169:85;1345:85;1164:84
5_AT5G16235_gene:5305945-5304493_260313_052400_958668,5_AT5G16235_gene:5305945-5304493_260313_052400_958668,92,45.391304347826086,45.5,106,91,1196:91;1208:90;984:87
5_AT5G57345_gene:23230749-23229290_260313_035605_115239,5_AT5G57345_gene:23230749-23229290_260313_035605_115239,92,45.369565217391305,45.5,101,89,1097:89;1103:89;1120:87
4_AT4G14540_gene:8344348-8345324_260313_022943_774579,4_AT4G14540_gene:8344348-8345324_260313_022943_774579,91,45.0,45.0,114,89,1097:90;1090:89;1076:87
1_AT1G10300_gene:3377877-3380414_260312_220349_617324,1_AT1G10300_gene:3377877-3380414_260312_220349_617324,91,45.0,45.0,124,87,1388:87;1389:86;1185:81
5_AT5G16820_gene:5530194-5532889_260313_052302_613656,5_AT5G16820_gene:5530194-5532889_260313_052302_613656,91,45.0,45.0,108,89,1315:90;1374:89;1325:87
5_AT5G13640_gene:4392936-4397541_260313_035416_814549,5_AT5G13640_gene:4392936-4397541_260313_035416_814549,92,45.17391304347826,45.5,114,90,1082:90;1287:90;1122:82
5_AT5G50600_gene:20591937-20589701_260313_035542_840267,5_AT5G50600_gene:20591937-20589701_260313_035542_840267,91,45.0,45.0,109,87,1836:87;1850:87;1852:87
4_AT4G33740_gene:16186790-16189123_260313_023435_538858,4_AT4G33740_gene:16186790-16189123_260313_023435_538858,93,45.26881720430107,45.0,108,88,1854:89;1837:88;1809:85
3_AT3G02610_gene:555625-557723_260313_022240_653279,3_AT3G02610_gene:555625-557723_260313_022240_653279,90,44.733333333333334,44.5,116,87,1530:87;1542:87;1443:82
