deepCIS_segment,Gene_ID,deepCRE_region,Gene_Genomic_Location,Internal_deepCRE_Coord
WRKY_1:8049090-8049339,AT1G22740,TSS_Window,1:8049090-8050784,1001-1250
WRKY_1:8073307-8073556,AT1G22810,TTS_Window,1:8074231-8075037,2675-2924
WRKY_1:29676843-29677092,AT1G78920,TTS_Window,1:29671413-29677537,1501-1555
WRKY_1:1954548-1954797,AT1G06410,TSS_Window,1:1954674-1958866,875-1124
WRKY_1:9394782-9395031,AT1G27060,TSS_Window,1:9394907-9396673,876-1125
WRKY_1:2942213-2942462,AT1G09130,TSS_Window,1:2939568-2942345,884-1133
WRKY_1:1464374-1464623,AT1G05090,TSS_Window,1:1464239-1465875,1136-1385
WRKY_1:23100915-23101164,AT1G62422,TSS_Window,1:23100119-23101335,1172-1421
WRKY_1:8787497-8787746,AT1G24909,TSS_Window,1:8785785-8787914,1169-1418
WRKY_1:3472675-3472924,AT1G10530,TSS_Window,1:3471456-3472674,751-1000
WRKY_1:217922-218171,AT1G01590,TTS_Window,1:214150-217734,2188-2437
WRKY_1:217922-218171,AT1G01600,TSS_Window,1:218834-221286,89-338
WRKY_1:237741-237990,AT1G01650,TSS_Window,1:232840-237905,916-1165
WRKY_1:534552-534801,AT1G02530,TTS_Window,1:529679-534677,1875-2124
WRKY_1:534552-534801,AT1G02540,TTS_Window,1:534827-535699,2026-2275
WRKY_1:610438-610687,AT1G02780,TSS_Window,1:607799-609534,1-97
WRKY_1:610438-610687,AT1G02790,TTS_Window,1:610363-612324,1676-1925
WRKY_1:658161-658410,AT1G02910,TSS_Window,1:655568-658216,807-1056
WRKY_1:658161-658410,AT1G02920,TTS_Window,1:658578-659980,2168-2417
WRKY_1:706670-706919,AT1G03040,TSS_Window,1:703847-706689,771-1020
WRKY_1:706670-706919,AT1G03050,TSS_Window,1:707485-710041,186-435
WRKY_1:880343-880592,AT1G03520,TSS_Window,1:877861-880259,668-917
WRKY_1:880343-880592,AT1G03530,TTS_Window,1:880384-883599,1792-2041
WRKY_1:903958-904207,AT1G03610,TTS_Window,1:900732-903070,2888-3000
WRKY_1:903958-904207,AT1G03620,TTS_Window,1:904032-907643,1825-2074
WRKY_1:992691-992940,AT1G03900,TTS_Window,1:991106-993126,1565-1814
WRKY_1:992691-992940,AT1G03905,TSS_Window,1:993400-995989,292-541
WRKY_1:1464374-1464623,AT1G05087,TTS_Window,1:1463108-1464173,2201-2450
WRKY_1:1509751-1510000,AT1G05200,TTS_Window,1:1504941-1509152,2599-2848
WRKY_1:1509751-1510000,AT1G05205,TSS_Window,1:1509103-1510341,1342-1500
WRKY_1:1509751-1510000,AT1G05210,TSS_Window,1:1510404-1511683,348-597
WRKY_1:1576141-1576390,AT1G05380,TSS_Window,1:1576822-1582672,320-569
WRKY_1:1860873-1861122,AT1G06130,TSS_Window,1:1857757-1860938,817-1066
WRKY_1:1910489-1910738,AT1G06230,TTS_Window,1:1906963-1911056,1501-1682
WRKY_1:1910489-1910738,AT1G06240,TSS_Window,1:1911095-1913295,395-644
WRKY_1:1945055-1945304,AT1G06380,TSS_Window,1:1944993-1946303,1063-1312
WRKY_1:1962661-1962910,AT1G06430,TSS_Window,1:1960031-1963189,1280-1500
WRKY_1:1962661-1962910,AT1G06440,TTS_Window,1:1963301-1965209,2391-2640
WRKY_1:2031885-2032134,AT1G06630,TTS_Window,1:2027606-2031388,2497-2746
WRKY_1:2031885-2032134,AT1G06640,TSS_Window,1:2031626-2034112,1260-1500
WRKY_1:2327797-2328046,AT1G07560,TSS_Window,1:2327315-2331148,1483-1500
WRKY_1:2393080-2393329,AT1G07720,TSS_Window,1:2390531-2392628,300-549
WRKY_1:2392796-2393045,AT1G07720,TSS_Window,1:2390531-2392628,584-833
WRKY_1:2432150-2432399,AT1G07870,TSS_Window,1:2428773-2432091,693-942
WRKY_1:2573230-2573479,AT1G08190,TTS_Window,1:2567420-2573448,1782-2031
WRKY_1:2573230-2573479,AT1G08200,TTS_Window,1:2573818-2576844,2339-2588
WRKY_1:2703106-2703355,AT1G08530,TTS_Window,1:2700981-2703162,1944-2193
WRKY_1:2703106-2703355,AT1G08540,TSS_Window,1:2703295-2706860,812-1061
WRKY_1:2722305-2722554,AT1G08590,TTS_Window,1:2718538-2722280,2025-2274
WRKY_1:2942213-2942462,AT1G09140,TTS_Window,1:2942538-2945976,2076-2325
WRKY_1:3103871-3104120,AT1G09575,TSS_Window,1:3101149-3103677,558-807
WRKY_1:3103871-3104120,AT1G09580,TSS_Window,1:3104492-3106366,380-629
WRKY_1:3265644-3265893,AT1G10000,TSS_Window,1:3263850-3265176,284-533
WRKY_1:3265644-3265893,AT1G10010,TSS_Window,1:3265886-3268823,759-1008
WRKY_1:3276601-3276850,AT1G10030,TTS_Window,1:3273753-3275953,2648-2897
WRKY_1:3394774-3395023,AT1G10350,TSS_Window,1:3392943-3395181,1159-1408
WRKY_1:3394774-3395023,AT1G10360,TTS_Window,1:3395551-3396953,2528-2777
WRKY_1:3557904-3558153,AT1G10710,TSS_Window,1:3558358-3560705,547-796
WRKY_1:3845052-3845301,AT1G11410,TTS_Window,1:3840877-3844479,2573-2822
WRKY_1:3910109-3910358,AT1G11610,TSS_Window,1:3906862-3909338,1-230
WRKY_1:3910109-3910358,AT1G11620,TSS_Window,1:3910833-3911924,277-526
WRKY_1:3962790-3963039,AT1G11740,TTS_Window,1:3963054-3966850,2015-2264
WRKY_1:4025250-4025499,AT1G11920,TSS_Window,1:4023533-4025113,615-864
WRKY_1:4025250-4025499,AT1G11925,TTS_Window,1:4025930-4026733,2431-2680
WRKY_1:4158959-4159208,AT1G12244,TTS_Window,1:4157654-4159046,1913-2162
WRKY_1:4158959-4159208,AT1G12250,TSS_Window,1:4159227-4161506,733-982
WRKY_1:4190089-4190338,AT1G12320,TTS_Window,1:4186624-4190342,1747-1996
WRKY_1:4259109-4259358,AT1G12480,TSS_Window,1:4257268-4259300,943-1192
WRKY_1:4304948-4305197,AT1G12650,TSS_Window,1:4305791-4308007,158-407
WRKY_1:4422507-4422756,AT1G12950,TTS_Window,1:4419714-4422684,1823-2072
WRKY_1:4422507-4422756,AT1G12960,TSS_Window,1:4422707-4423155,1400-1500
WRKY_1:4422507-4422756,AT1G12960,TTS_Window,1:4422707-4423155,1951-2200
WRKY_1:4422507-4422756,AT1G12970,TSS_Window,1:4423540-4425936,1-217
WRKY_1:4483863-4484112,AT1G13150,TSS_Window,1:4481875-4483751,640-889
WRKY_1:4483863-4484112,AT1G13160,TSS_Window,1:4484584-4488577,280-529
WRKY_1:4527039-4527288,AT1G13245,TSS_Window,1:4525414-4526204,1-166
WRKY_1:4601094-4601343,AT1G13410,TSS_Window,1:4601235-4603635,860-1109
WRKY_1:4716206-4716455,AT1G13740,TTS_Window,1:4713433-4715407,2799-3000
WRKY_1:4721465-4721714,AT1G13760,TSS_Window,1:4720243-4721342,629-878
WRKY_1:4720578-4720827,AT1G13760,TTS_Window,1:4720243-4721342,1501-1665
WRKY_1:4721465-4721714,AT1G13770,TSS_Window,1:4721574-4724520,892-1141
WRKY_1:4720578-4720827,AT1G13770,TSS_Window,1:4721574-4724520,5-254
WRKY_1:4804587-4804836,AT1G14030,TTS_Window,1:4805306-4807517,2470-2719
WRKY_1:5014036-5014285,AT1G14610,TSS_Window,1:5008153-5014533,1249-1498
WRKY_1:5014036-5014285,AT1G14620,TTS_Window,1:5014675-5016708,2390-2639
WRKY_1:5107949-5108198,AT1G14820,TSS_Window,1:5104975-5107107,1-159
WRKY_1:5379198-5379447,AT1G15640,TSS_Window,1:5378886-5380239,1313-1500
WRKY_1:5403809-5404058,AT1G15700,TSS_Window,1:5402569-5403818,761-1010
WRKY_1:5403809-5404058,AT1G15710,TSS_Window,1:5404130-5405910,680-929
WRKY_1:5410613-5410862,AT1G15730,TSS_Window,1:5407401-5410043,182-431
WRKY_1:5410613-5410862,AT1G15740,TSS_Window,1:5410908-5414919,706-955
WRKY_1:5415336-5415585,AT1G15740,TTS_Window,1:5410908-5414919,2417-2666
WRKY_1:5538228-5538477,AT1G16160,TTS_Window,1:5535766-5538501,1727-1976
WRKY_1:5538228-5538477,AT1G16170,TTS_Window,1:5538666-5540002,2189-2438
WRKY_1:5777991-5778240,AT1G16890,TSS_Window,1:5776177-5778529,1290-1500
WRKY_1:5777991-5778240,AT1G16900,TTS_Window,1:5779008-5782433,2768-3000
WRKY_1:5833708-5833957,AT1G17065,TTS_Window,1:5832303-5834030,1678-1927
WRKY_1:5833977-5834226,AT1G17065,TTS_Window,1:5832303-5834030,1947-2196
WRKY_1:6018009-6018258,AT1G17500,TSS_Window,1:6017808-6023503,1202-1451
WRKY_1:6067873-6068122,AT1G17630,TTS_Window,1:6064482-6067151,2722-2971
WRKY_1:6197198-6197447,AT1G18000,TSS_Window,1:6194426-6196343,1-146
WRKY_1:6198574-6198823,AT1G18010,TSS_Window,1:6199690-6201759,1-134
WRKY_1:6248649-6248898,AT1G18150,TSS_Window,1:6244298-6247830,1-182
WRKY_1:6248649-6248898,AT1G18160,TSS_Window,1:6248619-6254080,1031-1280
WRKY_1:6300274-6300523,AT1G18310,TTS_Window,1:6301200-6303956,2677-2926
WRKY_1:6373088-6373337,AT1G18500,TTS_Window,1:6368966-6373080,2008-2257
WRKY_1:6373088-6373337,AT1G18510,TSS_Window,1:6373265-6374090,824-1073
WRKY_1:6432186-6432435,AT1G18680,TTS_Window,1:6431938-6433552,1503-1752
WRKY_1:6619800-6620049,AT1G19170,TTS_Window,1:6616602-6619006,2794-3000
WRKY_1:6621246-6621495,AT1G19180,TSS_Window,1:6621777-6623668,470-719
WRKY_1:6625391-6625640,AT1G19190,TTS_Window,1:6623823-6624977,2414-2663
WRKY_1:6625391-6625640,AT1G19200,TTS_Window,1:6625012-6626217,1501-1621
WRKY_1:6652554-6652803,AT1G19250,TSS_Window,1:6650476-6653195,1393-1500
WRKY_1:6728233-6728482,AT1G19430,TSS_Window,1:6724413-6728075,594-843
WRKY_1:6728233-6728482,AT1G19440,TSS_Window,1:6728747-6730931,487-736
WRKY_1:6746795-6747044,AT1G19480,TTS_Window,1:6744353-6746635,2160-2409
WRKY_1:6746795-6747044,AT1G19485,TSS_Window,1:6746778-6751609,1018-1267
WRKY_1:6766656-6766905,AT1G19550,TTS_Window,1:6767451-6768158,2546-2795
WRKY_1:6791933-6792182,AT1G19640,TSS_Window,1:6788885-6791919,738-987
WRKY_1:6914327-6914576,AT1G19910,TTS_Window,1:6913001-6914634,1693-1942
WRKY_1:6914327-6914576,AT1G19920,TTS_Window,1:6914518-6916823,1942-2191
WRKY_1:7050399-7050648,AT1G20370,TTS_Window,1:7051577-7053745,2929-3000
WRKY_1:7083177-7083426,AT1G20410,TSS_Window,1:7078804-7082566,141-390
WRKY_1:7083177-7083426,AT1G20430,TSS_Window,1:7083012-7083910,1485-1500
WRKY_1:7083177-7083426,AT1G20430,TTS_Window,1:7083012-7083910,1586-1835
WRKY_1:7083177-7083426,AT1G20440,TTS_Window,1:7084409-7086873,2983-3000
WRKY_1:7106704-7106953,AT1G20510,TSS_Window,1:7103362-7106121,169-418
WRKY_1:7106704-7106953,AT1G20520,TTS_Window,1:7106922-7107617,1969-2218
WRKY_1:7171123-7171372,AT1G20680,TTS_Window,1:7169309-7170856,2267-2516
WRKY_1:7261084-7261333,AT1G20870,TSS_Window,1:7259023-7261524,1192-1441
WRKY_1:7261084-7261333,AT1G20875,TSS_Window,1:7261481-7261681,604-853
WRKY_1:7261084-7261333,AT1G20875,TTS_Window,1:7261481-7261681,1501-1652
WRKY_1:7261084-7261333,AT1G20880,TTS_Window,1:7262009-7265555,2676-2925
WRKY_1:7375596-7375845,AT1G21065,TTS_Window,1:7374115-7375789,1807-2056
WRKY_1:7375596-7375845,AT1G21070,TTS_Window,1:7375869-7378227,2024-2273
WRKY_1:7448351-7448600,AT1G21270,TTS_Window,1:7444749-7448483,1868-2117
WRKY_1:7448351-7448600,AT1G21280,TSS_Window,1:7447490-7448483,884-1133
WRKY_1:7491189-7491438,AT1G21390,TSS_Window,1:7489046-7490803,366-615
