file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
5_AT5G39400_gene:15766036-15768354_260312_201925_508275,5_AT5G39400_gene:15766036-15768354_260312_201925_508275,91,45.0,45.0,111,83,1452:83;1495:83;1318:79
5_AT5G16820_gene:5530194-5532889_260312_214515_083585,5_AT5G16820_gene:5530194-5532889_260312_214515_083585,91,45.0,45.0,105,90,1315:90;1335:89;1323:88
3_AT3G26744_gene:9835279-9832666_260312_173344_118102,3_AT3G26744_gene:9835279-9832666_260312_173344_118102,91,45.0,45.0,108,90,1237:90;1208:89;1389:88
3_AT3G13960_gene:4608075-4610497_260312_173343_627501,3_AT3G13960_gene:4608075-4610497_260312_173343_627501,91,45.0,45.0,102,88,1196:88;1214:86;1442:85
4_AT4G24020_gene:12479527-12484049_260312_190635_218470,4_AT4G24020_gene:12479527-12484049_260312_190635_218470,91,45.0,45.0,125,84,1218:87;1259:84;1275:84
1_AT1G09570_gene:3100819-3095159_260312_143035_226986,1_AT1G09570_gene:3100819-3095159_260312_143035_226986,91,45.0,45.0,113,89,636:89;641:89;1476:87
1_AT1G64970_gene:24136109-24134084_260312_143035_226978,1_AT1G64970_gene:24136109-24134084_260312_143035_226978,92,45.26086956521739,45.5,105,89,1295:89;1343:88;1274:87
1_AT1G15690_gene:5398925-5402733_260312_143035_227018,1_AT1G15690_gene:5398925-5402733_260312_143035_227018,94,46.287234042553195,46.5,106,93,1304:93;1011:90;904:89
1_AT1G56600_gene:21207536-21209635_260312_143035_226933,1_AT1G56600_gene:21207536-21209635_260312_143035_226933,89,43.89887640449438,44.0,118,86,1172:86;1189:86;1221:85
2_AT2G47015_gene:19319813-19320031_260312_172317_839137,2_AT2G47015_gene:19319813-19320031_260312_172317_839137,91,45.0,45.0,111,87,200:87;872:85;877:85
1_AT1G15360_gene:5283267-5284736_260312_143035_226981,1_AT1G15360_gene:5283267-5284736_260312_143035_226981,93,45.365591397849464,46.0,107,92,1395:92;1406:91;1380:90
2_AT2G47160_gene:19361328-19357419_260312_160110_248143,2_AT2G47160_gene:19361328-19357419_260312_160110_248143,92,45.33695652173913,45.5,105,91,1221:91;1282:90;864:88
4_AT4G34460_gene:16479620-16477030_260312_185819_498298,4_AT4G34460_gene:16479620-16477030_260312_185819_498298,93,45.41935483870968,46.0,102,92,980:92;987:91;1002:89
1_AT1G64280_gene:23855658-23852747_260312_155611_489409,1_AT1G64280_gene:23855658-23852747_260312_155611_489409,90,44.91111111111111,44.5,108,83,928:83;959:83;1412:82
2_AT2G36790_gene:15421866-15420172_260312_160242_351308,2_AT2G36790_gene:15421866-15420172_260312_160242_351308,91,45.0,45.0,106,90,1227:90;1419:89;1194:88
5_AT5G25620_gene:8938768-8934940_260312_214233_227501,5_AT5G25620_gene:8938768-8934940_260312_214233_227501,91,45.0,45.0,113,89,1221:89;1226:89;1251:88
1_AT1G45249_gene:17167924-17165124_260312_143035_226975,1_AT1G45249_gene:17167924-17165124_260312_143035_226975,92,45.25,45.5,109,91,1122:91;1105:88;1219:85
4_AT4G21980_gene:11655561-11657034_260312_190448_398666,4_AT4G21980_gene:11655561-11657034_260312_190448_398666,94,46.0,46.5,109,93,1393:93;961:92;1241:90
4_AT4G29080_gene:14325361-14323295_260312_185044_081129,4_AT4G29080_gene:14325361-14323295_260312_185044_081129,92,44.84782608695652,44.5,105,91,1403:91;1416:90;1386:88
2_AT2G19500_gene:8447355-8444203_260312_160038_997652,2_AT2G19500_gene:8447355-8444203_260312_160038_997652,91,45.0,45.0,114,86,1413:86;1415:86;1402:85
1_AT1G22740_gene:8049089-8050784_260312_143035_226979,1_AT1G22740_gene:8049089-8050784_260312_143035_226979,91,45.0,45.0,107,89,1252:89;1106:87;1329:86
1_AT1G10300_gene:3377877-3380414_260312_143035_227019,1_AT1G10300_gene:3377877-3380414_260312_143035_227019,91,45.0,45.0,106,89,1086:89;1106:88;1403:88
5_AT5G61430_gene:24702787-24701061_260312_201727_923280,5_AT5G61430_gene:24702787-24701061_260312_201727_923280,91,45.0,45.0,112,89,1209:89;1234:89;1315:89
1_AT1G22810_gene:8075037-8074230_260312_155730_048740,1_AT1G22810_gene:8075037-8074230_260312_155730_048740,91,45.0,45.0,104,88,693:88;991:85;969:83
3_AT3G54320_gene:20114487-20118745_260312_173452_873415,3_AT3G54320_gene:20114487-20118745_260312_173452_873415,96,46.09375,46.5,100,95,1400:95;995:94;1006:93
4_AT4G34000_gene:16295333-16298285_260312_185206_003030,4_AT4G34000_gene:16295333-16298285_260312_185206_003030,91,45.0,45.0,108,89,494:89;1178:89;1188:89
3_AT3G28730_gene:10784887-10788729_260312_173512_299141,3_AT3G28730_gene:10784887-10788729_260312_173512_299141,92,45.358695652173914,45.5,117,91,1161:91;1182:90;759:89
5_AT5G28640_gene:10650066-10647466_260312_203432_290170,5_AT5G28640_gene:10650066-10647466_260312_203432_290170,91,45.0,45.0,109,90,1317:90;2144:88;601:86
5_AT5G47770_gene:19345109-19347677_260312_204700_233940,5_AT5G47770_gene:19345109-19347677_260312_204700_233940,92,45.17391304347826,45.5,100,90,1432:90;1427:89;1411:88
5_AT5G16230_gene:5302904-5306088_260312_201438_391822,5_AT5G16230_gene:5302904-5306088_260312_201438_391822,91,45.0,45.0,105,90,1467:90;1420:88;1403:87
3_AT3G51830_gene:19220115-19225280_260312_172724_746915,3_AT3G51830_gene:19220115-19225280_260312_172724_746915,90,44.544444444444444,44.5,106,86,1291:86;1298:86;1299:86
1_AT1G31812_gene:11412233-11410765_260312_143035_226986,1_AT1G31812_gene:11412233-11410765_260312_143035_226986,92,45.48913043478261,45.5,111,91,1196:91;1180:90;1223:89
3_AT3G59900_gene:22129504-22130472_260312_172755_377250,3_AT3G59900_gene:22129504-22130472_260312_172755_377250,91,45.0,45.0,113,89,970:89;1248:88;1256:88
3_AT3G48160_gene:17783330-17786160_260312_173336_140293,3_AT3G48160_gene:17783330-17786160_260312_173336_140293,92,45.32608695652174,45.5,107,91,1396:91;1258:90;1437:88
1_AT1G12680_gene:4323265-4319876_260312_155623_093679,1_AT1G12680_gene:4323265-4319876_260312_155623_093679,92,45.25,45.5,109,91,1423:91;1431:89;1383:87
5_AT5G56970_gene:23048292-23044838_260312_202311_496329,5_AT5G56970_gene:23048292-23044838_260312_202311_496329,91,45.0,45.0,112,88,1275:88;1283:88;1269:87
4_AT4G14540_gene:8344348-8345324_260312_185715_622715,4_AT4G14540_gene:8344348-8345324_260312_185715_622715,90,44.63333333333333,44.5,109,89,1183:89;1217:83;1240:81
4_AT4G29130_gene:14355201-14352036_260312_185129_847863,4_AT4G29130_gene:14355201-14352036_260312_185129_847863,91,45.0,45.0,114,85,958:85;1458:84;1468:84
3_AT3G12750_gene:4053201-4051650_260312_173803_450004,3_AT3G12750_gene:4053201-4051650_260312_173803_450004,91,45.0,45.0,110,90,1191:90;1475:89;1430:86
5_AT5G66400_gene:26519447-26518276_260312_191201_786155,5_AT5G66400_gene:26519447-26518276_260312_191201_786155,91,45.0,45.0,105,83,1010:83;1031:82;1186:77
2_AT2G39730_gene:16573692-16570745_260312_160240_898893,2_AT2G39730_gene:16573692-16570745_260312_160240_898893,94,45.37234042553192,45.0,101,92,1235:92;956:89;1402:87
4_AT4G35270_gene:16782054-16777263_260312_190932_784465,4_AT4G35270_gene:16782054-16777263_260312_190932_784465,91,45.0,45.0,101,88,1318:88;1201:86;1355:86
3_AT3G27785_gene:10290934-10288602_260312_173243_375613,3_AT3G27785_gene:10290934-10288602_260312_173243_375613,91,45.0,45.0,110,90,1195:90;1454:84;1425:83
2_AT2G40690_gene:16973991-16976534_260312_160212_596649,2_AT2G40690_gene:16973991-16976534_260312_160212_596649,92,45.26086956521739,45.5,104,91,1424:91;877:88;2057:87
1_AT1G56010_gene:20949281-20946570_260312_155617_218434,1_AT1G56010_gene:20949281-20946570_260312_155617_218434,91,45.0,45.0,118,89,1202:89;1209:87;1230:86
1_AT1G78420_gene:29504531-29507680_260312_143035_227007,1_AT1G78420_gene:29504531-29507680_260312_143035_227007,91,45.0,45.0,113,90,1309:90;1207:89;899:87
5_AT5G53160_gene:21560600-21562709_260312_203946_417320,5_AT5G53160_gene:21560600-21562709_260312_203946_417320,92,45.369565217391305,45.5,106,87,965:89;954:87;872:83
3_AT3G57280_gene:21193679-21195790_260312_172847_992163,3_AT3G57280_gene:21193679-21195790_260312_172847_992163,91,45.0,45.0,105,90,1288:90;1265:89;1021:88
4_AT4G21200_gene:11302681-11306770_260312_185229_918821,4_AT4G21200_gene:11302681-11306770_260312_185229_918821,90,44.644444444444446,44.5,106,87,1285:87;1286:86;1300:86
5_AT5G27150_gene:9553299-9557594_260312_203637_509641,5_AT5G27150_gene:9553299-9557594_260312_203637_509641,92,45.119565217391305,45.5,105,91,929:91;973:90;995:88
1_AT1G78290_gene:29459493-29457204_260312_143035_226980,1_AT1G78290_gene:29459493-29457204_260312_143035_226980,90,44.5,44.5,107,89,1255:89;1282:88;1281:85
5_AT5G02470_gene:544955-542317_260312_214143_533177,5_AT5G02470_gene:544955-542317_260312_214143_533177,93,45.72043010752688,46.0,108,90,1253:90;1265:90;1266:90
4_AT4G04620_gene:2330590-2328441_260312_185635_022864,4_AT4G04620_gene:2330590-2328441_260312_185635_022864,91,45.0,45.0,102,90,1403:90;1455:89;1407:88
5_AT5G46180_gene:18721744-18718416_260312_203447_140146,5_AT5G46180_gene:18721744-18718416_260312_203447_140146,91,45.0,45.0,108,90,1477:90;1428:89;1431:87
2_AT2G22840_gene:9728479-9731301_260312_172311_960353,2_AT2G22840_gene:9728479-9731301_260312_172311_960353,92,45.19565217391305,45.5,112,91,1461:91;1459:90;1450:89
5_AT5G57290_gene:23207961-23206695_260312_202829_920799,5_AT5G57290_gene:23207961-23206695_260312_202829_920799,92,45.43478260869565,45.5,108,90,1054:90;1018:88;1294:84
4_AT4G29740_gene:14566182-14569380_260312_190428_501072,4_AT4G29740_gene:14566182-14569380_260312_190428_501072,91,45.0,45.0,114,86,1481:88;1488:87;1410:86
1_AT1G54160_gene:20219452-20217335_260312_143035_227025,1_AT1G54160_gene:20219452-20217335_260312_143035_227025,91,45.0,45.0,116,90,1246:90;1272:89;1238:88
5_AT5G19220_gene:6466831-6463823_260312_203710_962405,5_AT5G19220_gene:6466831-6463823_260312_203710_962405,91,45.0,45.0,122,88,395:88;1324:88;1325:88
4_AT4G30972_gene:15074898-15075081_260312_191108_219343,4_AT4G30972_gene:15074898-15075081_260312_191108_219343,91,45.0,45.0,122,88,874:88;2408:86;2356:83
5_AT5G16235_gene:5305945-5304493_260312_214558_539337,5_AT5G16235_gene:5305945-5304493_260312_214558_539337,90,44.644444444444446,44.5,102,89,1300:89;1371:87;947:86
5_AT5G24800_gene:8515199-8516669_260312_204252_718657,5_AT5G24800_gene:8515199-8516669_260312_204252_718657,91,45.0,45.0,102,89,1173:89;1179:89;1339:89
1_AT1G73360_gene:27582685-27578420_260312_143035_226998,1_AT1G73360_gene:27582685-27578420_260312_143035_226998,91,45.0,45.0,109,90,1327:90;1318:87;1322:87
5_AT5G13430_gene:4307570-4305105_260312_204443_966824,5_AT5G13430_gene:4307570-4305105_260312_204443_966824,91,45.0,45.0,110,89,926:89;1398:88;1017:87
5_AT5G13640_gene:4392936-4397541_260312_201642_123844,5_AT5G13640_gene:4392936-4397541_260312_201642_123844,92,45.06521739130435,45.5,106,89,1348:90;1307:89;1312:87
2_AT2G41510_gene:17314411-17317354_260312_160231_778854,2_AT2G41510_gene:17314411-17317354_260312_160231_778854,93,45.67741935483871,46.0,100,92,1176:92;1289:88;1453:87
5_AT5G57345_gene:23230749-23229290_260312_202103_180103,5_AT5G57345_gene:23230749-23229290_260312_202103_180103,91,45.0,45.0,99,90,1356:90;1347:89;1366:87
1_AT1G10370_gene:3398358-3396882_260312_143035_227000,1_AT1G10370_gene:3398358-3396882_260312_143035_227000,91,45.10989010989011,45.0,103,89,1269:89;1238:86;1302:86
4_AT4G37750_gene:17739513-17742407_260312_190641_870257,4_AT4G37750_gene:17739513-17742407_260312_190641_870257,91,45.0,45.0,103,88,1399:90;1390:88;1396:88
5_AT5G40360_gene:16144791-16146671_260312_204434_598302,5_AT5G40360_gene:16144791-16146671_260312_204434_598302,91,45.0,45.0,111,88,937:88;942:88;949:88
2_AT2G01980_gene:457001-463408_260312_155926_037182,2_AT2G01980_gene:457001-463408_260312_155926_037182,91,45.0,45.0,106,85,1284:90;1004:85;1381:83
5_AT5G19310_gene:6498742-6503692_260312_201412_932468,5_AT5G19310_gene:6498742-6503692_260312_201412_932468,91,45.0,45.0,111,89,1025:89;1453:85;1466:85
2_AT2G40610_gene:16950705-16948790_260312_160156_041388,2_AT2G40610_gene:16950705-16948790_260312_160156_041388,91,45.0,45.0,101,88,1183:88;1191:87;1200:86
2_AT2G47060_gene:19335163-19332824_260312_160301_992118,2_AT2G47060_gene:19335163-19332824_260312_160301_992118,91,45.0,45.0,116,90,1322:90;1272:89;1440:86
1_AT1G13950_gene:4773433-4774935_260312_143035_226985,1_AT1G13950_gene:4773433-4774935_260312_143035_226985,94,46.1063829787234,46.5,108,93,1256:93;1229:91;1360:87
4_AT4G25420_gene:12992585-12990850_260312_184843_757299,4_AT4G25420_gene:12992585-12990850_260312_184843_757299,93,45.516129032258064,46.0,113,84,1327:87;1307:84;1313:84
5_AT5G45900_gene:18615174-18618597_260312_202742_435993,5_AT5G45900_gene:18615174-18618597_260312_202742_435993,91,45.0,45.0,107,90,1129:90;1137:89;1361:85
4_AT4G33740_gene:16186790-16189123_260312_190607_018710,4_AT4G33740_gene:16186790-16189123_260312_190607_018710,91,45.0,45.0,109,90,1461:90;1251:87;1234:86
3_AT3G50660_gene:18817405-18813948_260312_172340_217003,3_AT3G50660_gene:18817405-18813948_260312_172340_217003,91,45.0,45.0,97,90,1322:90;1420:89;978:87
3_AT3G60640_gene:22415750-22417548_260312_173535_867027,3_AT3G60640_gene:22415750-22417548_260312_173535_867027,91,45.0,45.0,112,90,1208:90;1354:89;1195:88
2_AT2G41225_gene:17191486-17190977_260312_155755_207751,2_AT2G41225_gene:17191486-17190977_260312_155755_207751,92,45.42391304347826,45.5,112,91,1028:91;782:90;2024:89
2_AT2G18790_gene:8139755-8144461_260312_160017_001690,2_AT2G18790_gene:8139755-8144461_260312_160017_001690,92,45.45652173913044,45.5,107,86,964:86;1461:85;1466:85
5_AT5G50600_gene:20591937-20589701_260312_201937_970956,5_AT5G50600_gene:20591937-20589701_260312_201937_970956,91,45.0,45.0,102,90,1260:90;1275:88;1384:86
1_AT1G07867_gene:19807113-19806916_260312_155740_211920,1_AT1G07867_gene:19807113-19806916_260312_155740_211920,91,45.0,45.0,124,87,725:87;783:87;788:85
3_AT3G47340_gene:17441431-17437839_260312_172515_457235,3_AT3G47340_gene:17441431-17437839_260312_172515_457235,91,45.0,45.0,106,88,1385:88;1308:81;1419:80
2_AT2G41230_gene:17195697-17194747_260312_160454_137623,2_AT2G41230_gene:17195697-17194747_260312_160454_137623,91,45.0,45.0,111,90,992:90;1234:89;1092:88
4_AT4G25470_gene:13016235-13015249_260312_190433_721583,4_AT4G25470_gene:13016235-13015249_260312_190433_721583,91,45.0,45.0,116,90,2101:90;2037:87;1256:86
1_AT1G69530_gene:26141725-26143538_260312_143035_227352,1_AT1G69530_gene:26141725-26143538_260312_143035_227352,93,45.763440860215056,46.0,108,91,1308:92;1306:91;1334:90
1_AT1G01720_gene:267992-269819_260312_143035_226978,1_AT1G01720_gene:267992-269819_260312_143035_226978,92,45.380434782608695,45.5,113,91,1473:91;1443:90;1450:89
4_AT4G25490_gene:13022996-13021779_260312_185355_208818,4_AT4G25490_gene:13022996-13021779_260312_185355_208818,91,45.0,45.0,111,89,1184:89;1233:89;1217:88
1_AT1G70710_gene:26663337-26659128_260312_143035_226996,1_AT1G70710_gene:26663337-26659128_260312_143035_226996,91,45.0,45.0,98,90,1445:90;1436:89;1404:88
3_AT3G21150_gene:7413727-7412444_260312_173126_802789,3_AT3G21150_gene:7413727-7412444_260312_173126_802789,91,45.0,45.0,119,84,1257:84;1264:84;1267:84
1_AT1G26770_gene:9259431-9261313_260312_155713_993530,1_AT1G26770_gene:9259431-9261313_260312_155713_993530,91,45.0,45.0,108,90,1069:90;1336:87;1321:84
1_AT1G69970_gene:26354613-26352562_260312_143035_227010,1_AT1G69970_gene:26354613-26352562_260312_143035_227010,93,45.526881720430104,46.0,109,90,1189:90;1480:88;1466:87
4_AT4G40060_gene:18573084-18571238_260312_185659_774071,4_AT4G40060_gene:18573084-18571238_260312_185659_774071,91,45.0,45.0,119,89,1445:90;1446:89;1475:88
3_AT3G47500_gene:17506124-17503882_260312_172846_583288,3_AT3G47500_gene:17506124-17503882_260312_172846_583288,92,45.21739130434783,45.5,107,88,1236:91;1221:88;1257:86
2_AT2G36010_gene:15119515-15123184_260312_155748_317313,2_AT2G36010_gene:15119515-15123184_260312_155748_317313,91,45.0,45.0,110,90,1063:90;991:88;934:86
1_AT1G16540_gene:5659369-5665488_260312_143035_227000,1_AT1G16540_gene:5659369-5665488_260312_143035_227000,91,45.0,45.0,108,90,1152:90;1182:89;1202:88
2_AT2G26300_gene:11196995-11201102_260312_172130_245286,2_AT2G26300_gene:11196995-11201102_260312_172130_245286,98,47.04081632653061,47.5,103,96,1418:96;2599:94;1735:93
3_AT3G02610_gene:555625-557723_260312_184800_584447,3_AT3G02610_gene:555625-557723_260312_184800_584447,91,45.0,45.0,120,89,632:89;1096:83;1066:82
5_AT5G20635_gene:6982163-6979156_260312_214029_793436,5_AT5G20635_gene:6982163-6979156_260312_214029_793436,90,44.84444444444444,44.5,113,88,1411:88;1489:86;1454:85
3_AT3G50630_gene:18800305-18801595_260312_172509_160369,3_AT3G50630_gene:18800305-18801595_260312_172509_160369,92,45.23913043478261,45.5,99,91,1343:91;1329:89;1333:89
5_AT5G15230_gene:4944815-4946299_260312_202723_216475,5_AT5G15230_gene:4944815-4946299_260312_202723_216475,90,44.644444444444446,44.5,115,88,1291:88;1297:83;1382:82
1_AT1G50920_gene:18870058-18872968_260312_155718_614672,1_AT1G50920_gene:18870058-18872968_260312_155718_614672,92,45.44565217391305,45.5,118,90,1416:90;1439:90;1631:89
3_AT3G25910_gene:9489220-9491130_260312_172425_163340,3_AT3G25910_gene:9489220-9491130_260312_172425_163340,92,45.391304347826086,45.5,118,89,1496:89;1195:88;1185:86
