gene_name,target_start,target_end
AT1G01590,2317,2346
AT1G01600,198,227
AT1G01650,1025,1054
AT1G02530,2004,2033
AT1G02540,2155,2184
AT1G02790,1805,1834
AT1G02910,916,945
AT1G02920,2297,2326
AT1G03040,880,909
AT1G03050,295,324
AT1G03520,777,806
AT1G03530,1921,1950
AT1G03620,1954,1983
AT1G03900,1694,1723
AT1G03905,401,430
AT1G05087,2330,2359
AT1G05090,1245,1274
AT1G05200,2728,2757
AT1G05205,1451,1480
AT1G05210,457,486
AT1G05380,429,458
AT1G06130,926,955
AT1G06230,1562,1591
AT1G06240,504,533
AT1G06380,1172,1201
AT1G06410,984,1013
AT1G06430,1389,1418
AT1G06440,2520,2549
AT1G06630,2626,2655
AT1G06640,1369,1398
AT1G07720,409,438
AT1G07720,693,722
AT1G07870,802,831
AT1G08190,1911,1940
AT1G08200,2468,2497
AT1G08530,2073,2102
AT1G08540,921,950
AT1G08590,2154,2183
AT1G09130,993,1022
AT1G09140,2205,2234
AT1G09575,667,696
AT1G09580,489,518
AT1G10000,393,422
AT1G10010,868,897
AT1G10030,2777,2806
AT1G10350,1268,1297
AT1G10360,2657,2686
AT1G10530,860,889
AT1G10710,656,685
AT1G11410,2702,2731
AT1G11610,90,119
AT1G11620,386,415
AT1G11740,2144,2173
AT1G11920,724,753
AT1G11925,2560,2589
AT1G12244,2042,2071
AT1G12250,842,871
AT1G12320,1876,1905
AT1G12480,1052,1081
AT1G12650,267,296
AT1G12950,1952,1981
AT1G12960,2080,2109
AT1G12970,77,106
AT1G13150,749,778
AT1G13160,389,418
AT1G13245,26,55
AT1G13410,969,998
AT1G13740,2928,2957
AT1G13760,738,767
AT1G13760,1545,1574
AT1G13770,1001,1030
AT1G13770,114,143
AT1G14030,2599,2628
AT1G14610,1358,1387
AT1G14620,2519,2548
AT1G14820,19,48
AT1G15640,1422,1451
AT1G15700,870,899
AT1G15710,789,818
AT1G15730,291,320
AT1G15740,815,844
AT1G15740,2546,2575
AT1G16160,1856,1885
AT1G16170,2318,2347
AT1G16890,1399,1428
AT1G16900,2897,2926
AT1G17065,1807,1836
AT1G17065,2076,2105
AT1G17500,1311,1340
AT1G17630,2851,2880
AT1G18000,6,35
AT1G18150,42,71
AT1G18160,1140,1169
AT1G18310,2806,2835
AT1G18500,2137,2166
AT1G18510,933,962
AT1G18680,1632,1661
AT1G19170,2923,2952
AT1G19180,579,608
AT1G19190,2543,2572
AT1G19430,703,732
AT1G19440,596,625
AT1G19480,2289,2318
AT1G19485,1127,1156
AT1G19550,2675,2704
AT1G19640,847,876
AT1G19910,1822,1851
AT1G19920,2071,2100
AT1G20410,250,279
AT1G20430,1715,1744
AT1G20510,278,307
AT1G20520,2098,2127
AT1G20680,2396,2425
AT1G20870,1301,1330
AT1G20875,713,742
AT1G20880,2805,2834
AT1G21065,1936,1965
AT1G21070,2153,2182
AT1G21270,1997,2026
AT1G21280,993,1022
AT1G21390,475,504
AT1G21395,334,363
AT1G21450,998,1027
AT1G21500,2427,2456
AT1G21550,1638,1667
AT1G21720,1605,1634
AT1G21722,420,449
AT1G21830,1523,1552
AT1G22140,2809,2838
AT1G22360,917,946
AT1G22370,2090,2119
AT1G22670,282,311
AT1G22680,2752,2781
AT1G22730,2180,2209
AT1G22740,1110,1139
AT1G22810,2804,2833
AT1G23160,2678,2707
AT1G23170,1132,1161
AT1G23170,589,618
AT1G23270,701,730
AT1G23280,2184,2213
AT1G23560,976,1005
AT1G23570,2182,2211
AT1G23590,1164,1193
AT1G23600,2516,2545
AT1G23640,701,730
AT1G23645,2436,2465
AT1G24140,1385,1414
AT1G24230,196,225
AT1G24240,575,604
AT1G24909,1278,1307
AT1G25240,1941,1970
AT1G25277,2895,2924
AT1G25280,905,934
AT1G26110,1094,1123
AT1G26120,2534,2563
AT1G26640,1271,1300
AT1G26650,551,580
AT1G26900,1387,1416
AT1G26910,446,475
AT1G27050,2195,2224
AT1G27060,985,1014
AT1G27290,867,896
AT1G27400,1636,1665
AT1G27410,486,515
AT1G27470,995,1024
AT1G27480,869,898
AT1G27610,57,86
AT1G27620,2492,2521
AT1G27630,986,1015
AT1G28040,1278,1307
AT1G28050,2338,2367
AT1G28270,2560,2589
AT1G28280,2660,2689
AT1G28340,722,751
AT1G28510,730,759
AT1G28680,1544,1573
AT1G28690,2598,2627
AT1G28760,465,494
AT1G29060,105,134
AT1G29340,1247,1276
AT1G29670,2869,2898
AT1G29680,1211,1240
AT1G29690,2289,2318
AT1G29820,2779,2808
AT1G29860,1728,1757
AT1G29960,2887,2916
AT1G29962,1805,1834
AT1G30550,451,480
AT1G30560,786,815
AT1G30620,977,1006
AT1G30780,129,158
AT1G31840,2029,2058
AT1G31920,2821,2850
AT1G31950,2561,2590
AT1G31960,2033,2062
AT1G31970,327,356
AT1G32560,2587,2616
AT1G32570,245,274
AT1G32583,1730,1759
AT1G32585,2508,2537
AT1G32790,1656,1685
AT1G33060,148,177
AT1G33850,2531,2560
AT1G33880,787,816
AT1G33970,84,113
AT1G34020,2830,2859
AT1G34220,976,1005
AT1G34245,1885,1914
AT1G34390,1047,1076
AT1G34410,1047,1076
AT1G35215,893,922
AT1G35330,812,841
AT1G35460,2744,2773
AT1G35520,1048,1077
AT1G36310,1304,1333
AT1G36380,1300,1329
AT1G36390,2326,2355
AT1G40087,1150,1179
AT1G42700,2789,2818
AT1G43950,1048,1077
AT1G44750,2331,2360
AT1G44760,2268,2297
AT1G44820,1995,2024
AT1G44830,2432,2461
AT1G47130,634,663
AT1G47250,1875,1904
AT1G47560,2962,2991
AT1G47813,2004,2033
AT1G47920,2944,2973
AT1G48270,2459,2488
AT1G48750,70,99
AT1G48760,2920,2949
AT1G49100,1911,1940
AT1G49570,2100,2129
AT1G50580,190,219
AT1G50680,137,166
AT1G50690,842,871
AT1G50700,2257,2286
AT1G50710,1679,1708
AT1G50960,527,556
AT1G51035,1130,1159
AT1G51510,2081,2110
