site_id,gene_id,strand,region,start,end,additional_padding
bHLH_1:6576919-6577168,AT1G19040,+,terminator,1526,1776,0
bHLH_1:6576919-6577168,AT1G19050,-,terminator,2683,2933,0
bHLH_1:8203953-8204202,AT1G23140,-,promoter,98,348,0
bHLH_1:8203953-8204202,AT1G23145,+,promoter,1021,1193,614
bHLH_1:8203953-8204202,AT1G23145,+,terminator,1827,1905,614
bHLH_1:8203953-8204202,AT1G05793,-,terminator,2977,3020,779
bHLH_1:19581767-19582016,AT1G52565,-,promoter,0,210,0
bHLH_1:9670419-9670668,AT1G27770,-,terminator,2982,3020,0
bHLH_1:22265312-22265561,AT1G60420,+,terminator,2924,3020,0
bHLH_1:22265312-22265561,AT1G60440,-,terminator,2873,3020,0
bHLH_1:4028689-4028938,AT1G11930,+,promoter,1095,1345,0
bHLH_1:23689032-23689281,AT1G63840,-,terminator,2340,2590,0
bHLH_1:4429965-4430214,AT1G12980,+,promoter,1248,1498,0
bHLH_1:3624462-3624711,AT1G10880,-,terminator,2930,3020,0
bHLH_1:3624462-3624711,AT1G10870,-,promoter,94,344,0
bHLH_1:3624462-3624711,AT1G10875,-,terminator,1520,1555,0
bHLH_1:28517845-28518094,AT1G75960,+,promoter,907,1157,0
bHLH_1:28517845-28518094,AT1G75950,+,terminator,1969,2219,0
bHLH_1:7954358-7954607,AT1G22530,-,terminator,2856,3020,0
bHLH_1:7954358-7954607,AT1G22520,-,promoter,938,1188,0
bHLH_1:6840899-6841148,AT1G19790,-,promoter,164,414,0
bHLH_1:20760984-20761233,AT1G55570,+,terminator,2736,2986,0
bHLH_1:18581607-18581856,AT1G50160,+,terminator,1977,2227,778
bHLH_1:18581607-18581856,AT1G50170,+,promoter,610,860,0
bHLH_1:7192447-7192696,AT1G20720,-,promoter,1144,1394,0
bHLH_1:4590379-4590628,AT1G13380,-,promoter,872,1122,0
bHLH_1:5502781-5503030,AT1G16022,-,promoter,0,75,460
bHLH_1:5502781-5503030,AT1G16025,+,terminator,2842,3020,545
bHLH_1:9569966-9570215,AT1G27550,-,promoter,114,364,482
bHLH_1:9569966-9570215,AT1G27555,+,promoter,570,820,434
bHLH_1:4840826-4841075,AT1G14160,-,terminator,1520,1755,0
bHLH_1:4840826-4841075,AT1G14150,+,terminator,2023,2273,0
bHLH_1:207017-207266,AT1G01570,+,terminator,1520,1645,0
bHLH_1:21430117-21430366,AT1G57860,-,terminator,1520,1728,0
bHLH_1:21430117-21430366,AT1G57870,-,terminator,2703,2953,0
bHLH_1:10373353-10373602,AT1G29660,+,terminator,1520,1618,0
bHLH_1:5581797-5582046,AT1G16320,+,terminator,1663,1913,0
bHLH_1:5581797-5582046,AT1G16330,-,terminator,2359,2609,0
bHLH_1:11697519-11697768,AT1G32415,+,terminator,1575,1825,0
bHLH_1:11697519-11697768,AT1G06567,-,terminator,2655,2905,547
bHLH_1:2348582-2348831,AT1G07630,+,promoter,668,918,0
bHLH_1:2348582-2348831,AT1G04607,-,promoter,615,865,579
bHLH_1:3817185-3817434,AT1G11340,-,promoter,985,1235,0
bHLH_1:3817185-3817434,AT1G11350,-,terminator,2008,2258,0
bHLH_1:7093572-7093821,AT1G20460,+,terminator,2150,2400,0
bHLH_1:7093572-7093821,AT1G20470,+,promoter,313,563,390
bHLH_1:7093572-7093821,AT1G05553,-,promoter,771,1021,519
bHLH_1:7093572-7093821,AT1G05557,-,terminator,2205,2455,341
bHLH_1:1495886-1496135,AT1G04337,+,promoter,152,402,632
