condition,id,GC,length,n_experiments,min_bc,min_ci,min_co,enrichment
Dark,1:1231266-1231515_iur(+)_Athal_WRKYc1-5_dCIS-ctrl.0,0.258824,170,2,13,450,510,0.27817415721922223
Dark,1:1231266-1231515_iur(+)_Athal_WRKYc1-5_dCIS-var.0,0.252941,170,2,15,493,737,0.4698981799033717
Dark,1:1242200-1242449_iur(+)_Athal_WRKYc1-5_dCIS-ctrl.0,0.270588,170,2,9,367,571,0.6373455385054836
Dark,1:1242200-1242449_iur(+)_Athal_WRKYc1-5_dCIS-var.0,0.276471,170,2,13,566,1092,0.9053756247478595
Dark,1:1312665-1312914_iur(+)_Athal_bZIPc1-5_dCIS-ctrl.0,0.305882,170,2,6,267,195,-0.23273583165295164
Dark,1:1312665-1312914_iur(+)_Athal_bZIPc1-5_dCIS-var.0,0.311765,170,2,8,276,312,0.2389461141438858
Dark,1:1312712-1312961_iur(+)_Athal_bZIPc1-5_dCIS-ctrl.0,0.329412,170,2,12,520,1321,1.3549904618793167
Dark,1:1312712-1312961_iur(+)_Athal_bZIPc1-5_dCIS-var.0,0.335294,170,2,16,780,1923,1.4731972120730168
Dark,1:1354942-1355191_igr(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.511765,170,2,5,168,80,-0.8415012739718799
Dark,1:1354942-1355191_igr(+)_Athal_MYBc1-5_dCIS-var.0,0.505882,170,2,9,396,155,-1.3192825075529484
Dark,1:1355006-1355255_igr(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.558824,170,2,9,295,135,-1.2098896736344393
Dark,1:1355006-1355255_igr(+)_Athal_MYBc1-5_dCIS-var.0,0.552941,170,2,11,595,236,-1.3966776220015353
Dark,1:1355060-1355309_igr(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.541176,170,2,2,141,36,-2.0563670439886383
Dark,1:1355060-1355309_igr(+)_Athal_MYBc1-5_dCIS-var.0,0.535294,170,2,2,40,15,-0.8097542334146189
Dark,1:1422048-1422297_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.4,170,2,24,520,954,0.8900213358886093
Dark,1:1422048-1422297_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.4,170,2,24,387,538,0.7067354299156107
Dark,1:1422146-1422395_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.494118,170,2,15,574,922,0.5868046913973406
Dark,1:1422146-1422395_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.494118,170,2,7,261,296,0.3323341261988808
Dark,1:1422286-1422535_iur(-)_Athal_WRKYc1-5_dCIS-ctrl.0,0.329412,170,2,22,858,1066,0.27449957230618516
Dark,1:1422286-1422535_iur(-)_Athal_WRKYc1-5_dCIS-var.0,0.323529,170,2,3,60,67,0.5091321413749934
Dark,1:1422348-1422597_iur(-)_Athal_WRKYc1-5_dCIS-ctrl.0,0.3,170,2,7,377,397,0.14466093884129153
Dark,1:1422348-1422597_iur(-)_Athal_WRKYc1-5_dCIS-var.0,0.294118,170,2,3,95,232,1.0620277346194116
Dark,1:1514268-1514517_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.435294,170,2,2,48,34,-0.38405010804561135
Dark,1:1514268-1514517_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.435294,170,2,7,303,130,-1.2203309641598874
Dark,1:1514375-1514624_igr(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.370588,170,2,9,481,204,-1.3228351044912512
Dark,1:1514375-1514624_igr(-)_Athal_MYBc1-5_dCIS-var.0,0.370588,170,2,4,223,96,-1.1532455248783902
Dark,1:1543286-1543535_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.270588,170,2,12,344,1075,1.8231628502284678
Dark,1:1543286-1543535_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.270588,170,2,8,221,537,1.468228548095427
Dark,1:1543429-1543678_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.305882,170,2,2,33,23,-0.05658914957407668
Dark,1:1543429-1543678_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.305882,170,2,3,149,73,-0.7830974924185768
Dark,1:16489175-16489424_iur(-)_Athal_bZIPc1-5_dCIS-ctrl.0,0.441176,170,2,13,485,756,0.5372548548906386
Dark,1:16489175-16489424_iur(-)_Athal_bZIPc1-5_dCIS-var.0,0.435294,170,2,12,513,567,0.25441732644242754
Dark,1:16489232-16489481_iur(-)_Athal_bZIPc1-5_dCIS-ctrl.0,0.435294,170,2,6,175,58,-1.2077507772829348
Dark,1:16489232-16489481_iur(-)_Athal_bZIPc1-5_dCIS-var.0,0.429412,170,2,3,90,44,-1.009759049336474
Dark,1:16531591-16531840_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.411765,170,2,3,116,58,-1.089062435703842
Dark,1:16531591-16531840_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.405882,170,2,4,198,41,-1.817959761418987
Dark,1:16531634-16531883_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.417647,170,2,2,82,55,-0.8443069577251392
Dark,1:16531634-16531883_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.411765,170,1,2,19,26,0.34474088659848584
Dark,1:16531700-16531949_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.429412,170,2,9,464,220,-1.0333601953725036
Dark,1:16531700-16531949_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.423529,170,2,12,507,296,-0.880990800882287
Dark,1:16680496-16680745_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.311765,170,2,6,238,180,-0.38732567435649456
Dark,1:16680496-16680745_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.305882,170,2,4,213,108,-0.6786689392996439
Dark,1:16680563-16680812_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.370588,170,2,6,450,133,-1.736787959883981
Dark,1:16680563-16680812_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.364706,170,2,8,421,133,-1.6499121811958535
Dark,1:16680611-16680860_iur(+)_Athal_MYBc1-5_dCIS-ctrl.0,0.417647,170,2,6,648,151,-2.105830363037642
Dark,1:16680611-16680860_iur(+)_Athal_MYBc1-5_dCIS-var.0,0.411765,170,2,9,416,161,-1.4085605492304563
Dark,1:17510253-17510502_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.223529,170,2,5,200,267,0.608660494175369
Dark,1:17510253-17510502_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.229412,170,2,3,110,80,0.22682299062596967
Dark,1:17510296-17510545_iur(-)_Athal_MYBc1-5_dCIS-ctrl.0,0.182353,170,2,21,857,1277,0.5620068881554798
Dark,1:17510296-17510545_iur(-)_Athal_MYBc1-5_dCIS-var.0,0.188235,170,2,15,644,982,0.6722454836256904
