file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
2_AT2G40610_gene:16950705-16948790_260312_160057_181930,2_AT2G40610_gene:16950705-16948790_260312_160057_181930,90,44.522222222222226,44.5,113,82,1475:82;1480:82;1481:82
1_AT1G22810_gene:8075037-8074230_260312_155939_033672,1_AT1G22810_gene:8075037-8074230_260312_155939_033672,96,46.5625,46.5,126,93,1011:93;1015:93;1066:93
3_AT3G25910_gene:9489220-9491130_260312_172509_267559,3_AT3G25910_gene:9489220-9491130_260312_172509_267559,102,48.872549019607845,50.5,111,93,1909:96;1773:93;1793:93
1_AT1G01720_gene:267992-269819_260312_143035_175967,1_AT1G01720_gene:267992-269819_260312_143035_175967,432,53.217592592592595,56.0,99,431,1831:431;1805:430;1417:429
5_AT5G56970_gene:23048292-23044838_260312_202518_461931,5_AT5G56970_gene:23048292-23044838_260312_202518_461931,136,55.06617647058823,64.5,113,127,978:127;1084:127;1087:127
5_AT5G40360_gene:16144791-16146671_260312_203614_446479,5_AT5G40360_gene:16144791-16146671_260312_203614_446479,101,48.57425742574257,50.0,117,98,1379:98;1375:93;1169:89
1_AT1G31812_gene:11412233-11410765_260312_143035_174541,1_AT1G31812_gene:11412233-11410765_260312_143035_174541,102,49.23529411764706,50.5,132,94,979:94;1808:93;911:89
4_AT4G33740_gene:16186790-16189123_260312_190255_883289,4_AT4G33740_gene:16186790-16189123_260312_190255_883289,212,64.31132075471699,75.0,114,210,1851:210;1854:208;1461:204
4_AT4G21980_gene:11655561-11657034_260312_190212_142691,4_AT4G21980_gene:11655561-11657034_260312_190212_142691,215,57.22790697674419,67.0,105,209,1108:214;1091:209;1093:209
4_AT4G29130_gene:14355201-14352036_260312_185203_166671,4_AT4G29130_gene:14355201-14352036_260312_185203_166671,97,46.371134020618555,47.0,115,91,1333:91;1278:90;1413:85
