file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
4_Zm00001eb203250_gene:226829174-226832684_260121_131202_732871,4_Zm00001eb203250_gene:226829174-226832684_260121_131202_732871,5,2.0,2.0,4,4,1331:4;1749:3;128:2
3_Zm00001eb143660_gene:164887798-164893906_260121_131155_895909,3_Zm00001eb143660_gene:164887798-164893906_260121_131155_895909,5,2.0,2.0,7,3,1154:3;1317:2;347:1
scaf_360_Zm00001eb441240_gene:56200-55663_260121_131336_666439,scaf_360_Zm00001eb441240_gene:56200-55663_260121_131336_666439,4,1.5,1.5,5,2,1223:2;1171:1;1756:1
2_Zm00001eb084460_gene:62348949-62350014_260121_131134_669819,2_Zm00001eb084460_gene:62348949-62350014_260121_131134_669819,5,2.2,2.0,8,3,1307:3;1608:2;876:1
1_Zm00001eb009610_gene:29968953-29975857_260121_131102_090048,1_Zm00001eb009610_gene:29968953-29975857_260121_131102_090048,4,1.75,1.5,5,2,1156:2;1317:2;43:1
1_Zm00001eb063000_gene:301417124-301415684_260121_131113_236248,1_Zm00001eb063000_gene:301417124-301415684_260121_131113_236248,6,2.5,2.5,10,2,862:2;1811:2;2554:2
10_Zm00001eb407020_gene:5957648-5953590_260121_131113_277937,10_Zm00001eb407020_gene:5957648-5953590_260121_131113_277937,4,1.5,1.5,4,3,1287:3;197:1;1152:1
9_Zm00001eb394060_gene:132595491-132599370_260121_131327_095614,9_Zm00001eb394060_gene:132595491-132599370_260121_131327_095614,7,3.857142857142857,3.0,14,4,1172:4;1347:4;0:3
4_Zm00001eb188110_gene:164183099-164186206_260121_131210_590012,4_Zm00001eb188110_gene:164183099-164186206_260121_131210_590012,4,1.5,1.5,4,2,1003:2;1632:2;1592:1
5_Zm00001eb221280_gene:27465221-27467796_260121_131224_211286,5_Zm00001eb221280_gene:27465221-27467796_260121_131224_211286,4,1.5,1.5,3,3,1394:3;1637:2;774:1
2_Zm00001eb076880_gene:28560382-28555257_260121_131141_942406,2_Zm00001eb076880_gene:28560382-28555257_260121_131141_942406,3,1.0,1.0,2,2,1235:2;805:1
4_Zm00001eb201760_gene:216956666-216952328_260121_131218_061894,4_Zm00001eb201760_gene:216956666-216952328_260121_131218_061894,5,2.0,2.0,7,3,1303:3;2443:2;1324:1
1_Zm00001eb063600_gene:302758316-302752202_260121_131111_831984,1_Zm00001eb063600_gene:302758316-302752202_260121_131111_831984,7,3.0,3.0,15,2,1415:2;1803:2;1911:2
10_Zm00001eb408870_gene:14418778-14418373_260121_131114_786056,10_Zm00001eb408870_gene:14418778-14418373_260121_131114_786056,5,2.0,2.0,7,2,1138:2;1906:2;2464:2
8_Zm00001eb342810_gene:65766812-65767400_260121_131301_152413,8_Zm00001eb342810_gene:65766812-65767400_260121_131301_152413,5,2.0,2.0,4,4,1745:4;1949:3;762:2
9_Zm00001eb400980_gene:154751110-154746930_260121_131328_692067,9_Zm00001eb400980_gene:154751110-154746930_260121_131328_692067,4,3.0,1.5,12,1,670:1;1047:1;1114:1
2_Zm00001eb115720_gene:236767635-236763789_260121_131140_483708,2_Zm00001eb115720_gene:236767635-236763789_260121_131140_483708,4,1.5,1.5,5,2,1084:2;864:1;1074:1
1_Zm00001eb029950_gene:164474121-164475847_260121_131108_812940,1_Zm00001eb029950_gene:164474121-164475847_260121_131108_812940,5,2.2,2.0,8,3,1457:3;767:2;205:1
