file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
2_Zm00001eb071230_gene:11386081-11383455_260312_235442_979547,2_Zm00001eb071230_gene:11386081-11383455_260312_235442_979547,91,45.0,45.0,121,86,981:87;1051:86;1250:83
6_Zm00001eb261480_gene:12602917-12605884_260313_024635_206303,6_Zm00001eb261480_gene:12602917-12605884_260313_024635_206303,91,45.0,45.0,106,89,1271:89;1677:89;1267:88
2_Zm00001eb117690_gene:241361253-241363418_260312_235552_454873,2_Zm00001eb117690_gene:241361253-241363418_260312_235552_454873,92,45.43478260869565,45.5,113,91,1489:91;1183:89;1262:87
6_Zm00001eb264880_gene:31422627-31418213_260313_024703_176958,6_Zm00001eb264880_gene:31422627-31418213_260313_024703_176958,91,45.0,45.0,110,90,1213:90;1220:87;1818:87
4_Zm00001eb184580_gene:142574496-142573917_260313_012322_684704,4_Zm00001eb184580_gene:142574496-142573917_260313_012322_684704,91,45.0,45.0,121,88,1075:88;1076:88;994:86
2_Zm00001eb084460_gene:62348949-62350014_260312_235431_526773,2_Zm00001eb084460_gene:62348949-62350014_260312_235431_526773,92,45.40217391304348,45.5,103,90,1225:91;995:90;1267:89
10_Zm00001eb408870_gene:14418778-14418373_260312_235023_892552,10_Zm00001eb408870_gene:14418778-14418373_260312_235023_892552,91,45.0,45.0,109,89,979:89;983:89;992:89
4_Zm00001eb203250_gene:226829174-226832684_260313_011919_661532,4_Zm00001eb203250_gene:226829174-226832684_260313_011919_661532,91,45.0,45.0,112,86,1002:89;963:86;1041:85
9_Zm00001eb397320_gene:144850322-144855849_260313_042619_206386,9_Zm00001eb397320_gene:144850322-144855849_260313_042619_206386,92,45.41304347826087,45.5,115,91,1318:91;1009:87;1305:87
3_Zm00001eb158360_gene:219797033-219806504_260313_011654_904500,3_Zm00001eb158360_gene:219797033-219806504_260313_011654_904500,91,45.0,45.0,103,85,964:85;1205:83;1210:83
2_Zm00001eb080580_gene:43250938-43248223_260312_235443_397813,2_Zm00001eb080580_gene:43250938-43248223_260312_235443_397813,91,45.0,45.0,109,90,1453:90;1454:89;1244:87
7_Zm00001eb298790_gene:2369631-2371252_260313_025717_339767,7_Zm00001eb298790_gene:2369631-2371252_260313_025717_339767,91,45.0,45.0,107,87,1111:87;1132:85;1106:84
3_Zm00001eb150760_gene:193518324-193530789_260312_235628_989611,3_Zm00001eb150760_gene:193518324-193530789_260312_235628_989611,91,45.0,45.0,117,86,1139:86;1114:85;1134:83
4_Zm00001eb175560_gene:50153761-50148375_260313_012047_387378,4_Zm00001eb175560_gene:50153761-50148375_260313_012047_387378,91,45.0,45.0,107,90,1312:90;1302:87;1463:85
4_Zm00001eb188110_gene:164183099-164186206_260313_012317_039253,4_Zm00001eb188110_gene:164183099-164186206_260313_012317_039253,91,45.0,45.0,114,90,1271:90;1035:83;1092:82
6_Zm00001eb273970_gene:101489682-101489079_260313_024401_039369,6_Zm00001eb273970_gene:101489682-101489079_260313_024401_039369,91,45.0,45.0,116,88,1093:88;1094:88;2132:88
10_Zm00001eb421930_gene:116703177-116706315_260312_235101_452220,10_Zm00001eb421930_gene:116703177-116706315_260312_235101_452220,91,45.0,45.0,115,87,1726:89;1729:87;1737:86
6_Zm00001eb284740_gene:145531674-145525276_260313_024856_452909,6_Zm00001eb284740_gene:145531674-145525276_260313_024856_452909,87,43.0919540229885,43.0,105,85,1430:85;1323:81;1043:79
8_Zm00001eb363020_gene:164672544-164668894_260313_025734_366585,8_Zm00001eb363020_gene:164672544-164668894_260313_025734_366585,91,45.0,45.0,113,90,1457:90;1466:89;1190:87
3_Zm00001eb139490_gene:144576485-144590871_260313_011624_011969,3_Zm00001eb139490_gene:144576485-144590871_260313_011624_011969,92,45.28260869565217,45.5,112,90,1333:90;1325:89;1305:86
4_Zm00001eb203480_gene:228317872-228318240_260313_011842_287555,4_Zm00001eb203480_gene:228317872-228318240_260313_011842_287555,91,45.0,45.0,122,85,942:85;967:85;968:85
6_Zm00001eb281320_gene:132086562-132086085_260313_024238_569278,6_Zm00001eb281320_gene:132086562-132086085_260313_024238_569278,91,45.0,45.0,113,87,2385:89;1000:87;1003:87
scaf_114_Zm00001eb437610_gene:87437-91199_260313_042854_496582,scaf_114_Zm00001eb437610_gene:87437-91199_260313_042854_496582,91,45.0,45.0,103,85,1113:85;1117:85;1125:85
3_Zm00001eb143660_gene:164887798-164893906_260313_011821_110640,3_Zm00001eb143660_gene:164887798-164893906_260313_011821_110640,91,45.0,45.0,103,89,1264:89;1462:89;1268:88
8_Zm00001eb356980_gene:142174240-142169595_260313_041322_538537,8_Zm00001eb356980_gene:142174240-142169595_260313_041322_538537,91,45.0,45.0,102,87,988:90;1413:88;992:87
4_Zm00001eb201760_gene:216956666-216952328_260313_012548_619001,4_Zm00001eb201760_gene:216956666-216952328_260313_012548_619001,91,45.0,45.0,106,88,1330:88;1334:88;1455:88
1_Zm00001eb052700_gene:265550186-265547550_260312_222747_893700,1_Zm00001eb052700_gene:265550186-265547550_260312_222747_893700,91,44.94505494505494,45.0,105,90,1107:90;1311:88;1318:88
2_Zm00001eb075710_gene:24842101-24840278_260312_235216_034311,2_Zm00001eb075710_gene:24842101-24840278_260312_235216_034311,91,45.0,45.0,117,90,1437:90;1457:89;1439:87
scaf_398_Zm00001eb441520_gene:26000-29975_260313_042957_602111,scaf_398_Zm00001eb441520_gene:26000-29975_260313_042957_602111,91,45.0,45.0,105,85,1125:85;1137:85;1143:85
9_Zm00001eb403070_gene:158933007-158950363_260313_041505_290613,9_Zm00001eb403070_gene:158933007-158950363_260313_041505_290613,92,45.45652173913044,45.5,95,89,1357:91;1379:90;1156:89
3_Zm00001eb145360_gene:174689294-174688377_260312_235645_808763,3_Zm00001eb145360_gene:174689294-174688377_260312_235645_808763,91,45.0,45.0,104,88,1140:88;1150:88;1135:87
2_Zm00001eb094040_gene:156950830-156948039_260312_235215_607316,2_Zm00001eb094040_gene:156950830-156948039_260312_235215_607316,92,45.43478260869565,45.5,104,91,1413:91;1410:90;1277:88
8_Zm00001eb351080_gene:117872588-117868988_260313_041202_384907,8_Zm00001eb351080_gene:117872588-117868988_260313_041202_384907,91,45.0,45.0,119,85,1390:85;956:83;1056:83
6_Zm00001eb266960_gene:46828842-46830572_260313_025033_005028,6_Zm00001eb266960_gene:46828842-46830572_260313_025033_005028,91,45.0,45.0,108,90,1176:90;1194:89;1115:87
5_Zm00001eb240160_gene:159176872-159167469_260313_012637_058916,5_Zm00001eb240160_gene:159176872-159167469_260313_012637_058916,91,45.0,45.0,103,90,1186:90;1262:87;1037:86
10_Zm00001eb419060_gene:98307625-98308866_260312_235159_513012,10_Zm00001eb419060_gene:98307625-98308866_260312_235159_513012,91,45.0,45.0,104,88,1183:89;1180:88;1304:87
3_Zm00001eb163570_gene:235932374-235929673_260313_011830_979793,3_Zm00001eb163570_gene:235932374-235929673_260313_011830_979793,91,45.0,45.0,104,87,1464:87;1468:87;1473:87
10_Zm00001eb414910_gene:73564824-73566176_260312_235147_109010,10_Zm00001eb414910_gene:73564824-73566176_260312_235147_109010,90,44.5,44.5,105,89,1196:89;1262:88;1227:85
1_Zm00001eb039880_gene:210953321-210952356_260312_222747_897504,1_Zm00001eb039880_gene:210953321-210952356_260312_222747_897504,91,45.0,45.0,121,89,1110:89;1135:89;1115:84
10_Zm00001eb433670_gene:150371812-150367842_260312_235140_130287,10_Zm00001eb433670_gene:150371812-150367842_260312_235140_130287,91,45.0,45.0,100,88,1257:90;1115:88;1272:87
2_Zm00001eb070510_gene:9877377-9881780_260312_235552_111456,2_Zm00001eb070510_gene:9877377-9881780_260312_235552_111456,91,45.0,45.0,110,89,1460:89;1485:88;1479:87
1_Zm00001eb051900_gene:263002045-263008387_260312_222747_890780,1_Zm00001eb051900_gene:263002045-263008387_260312_222747_890780,91,45.0,45.0,103,89,1485:90;1063:87;1386:87
5_Zm00001eb221280_gene:27465221-27467796_260313_012710_587146,5_Zm00001eb221280_gene:27465221-27467796_260313_012710_587146,91,45.0,45.0,101,85,1177:85;1194:85;1220:84
6_Zm00001eb290990_gene:166342427-166341276_260313_024446_757442,6_Zm00001eb290990_gene:166342427-166341276_260313_024446_757442,91,45.0,45.0,105,89,1314:89;1285:87;1163:86
7_Zm00001eb301180_gene:9508066-9507628_260313_025412_610825,7_Zm00001eb301180_gene:9508066-9507628_260313_025412_610825,91,45.0,45.0,126,88,1002:88;1015:88;1016:88
scaf_360_Zm00001eb441240_gene:56200-55663_260313_042903_195829,scaf_360_Zm00001eb441240_gene:56200-55663_260313_042903_195829,91,45.0,45.0,97,90,1062:90;1060:89;1064:88
9_Zm00001eb373360_gene:9745306-9745651_260313_041805_136542,9_Zm00001eb373360_gene:9745306-9745651_260313_041805_136542,91,45.0,45.0,117,90,2395:90;943:87;913:85
10_Zm00001eb408100_gene:10249260-10254317_260312_235125_188219,10_Zm00001eb408100_gene:10249260-10254317_260312_235125_188219,91,45.0,45.0,110,88,1209:88;1221:88;1070:85
1_Zm00001eb029950_gene:164474121-164475847_260312_222747_903239,1_Zm00001eb029950_gene:164474121-164475847_260312_222747_903239,91,45.0,45.0,105,90,1141:90;1159:89;1150:88
9_Zm00001eb394060_gene:132595491-132599370_260313_042147_274260,9_Zm00001eb394060_gene:132595491-132599370_260313_042147_274260,91,45.0,45.0,114,90,1370:90;1353:89;1394:88
9_Zm00001eb402310_gene:157734775-157739869_260313_042113_151814,9_Zm00001eb402310_gene:157734775-157739869_260313_042113_151814,91,45.0,45.0,124,88,1214:88;1223:87;1226:86
1_Zm00001eb005450_gene:15194902-15196258_260312_222747_907419,1_Zm00001eb005450_gene:15194902-15196258_260312_222747_907419,91,45.0,45.0,107,89,1220:89;1197:87;1191:86
7_Zm00001eb326910_gene:172867159-172867622_260313_025329_499515,7_Zm00001eb326910_gene:172867159-172867622_260313_025329_499515,91,45.0,45.0,110,89,1026:89;1019:88;1027:88
8_Zm00001eb344240_gene:73998164-73997215_260313_025826_888116,8_Zm00001eb344240_gene:73998164-73997215_260313_025826_888116,91,45.0,45.0,106,86,1121:89;1116:88;1136:86
2_Zm00001eb082430_gene:50788572-50787160_260312_235307_347809,2_Zm00001eb082430_gene:50788572-50787160_260312_235307_347809,91,45.0,45.0,116,88,1854:88;1292:85;1846:84
1_Zm00001eb020350_gene:75394151-75390295_260312_222747_888367,1_Zm00001eb020350_gene:75394151-75390295_260312_222747_888367,91,45.0,45.0,106,90,1318:90;1334:88;1113:87
1_Zm00001eb009610_gene:29968953-29975857_260312_222747_893318,1_Zm00001eb009610_gene:29968953-29975857_260312_222747_893318,91,45.0,45.0,113,90,1297:90;1440:89;1347:88
1_Zm00001eb023950_gene:96544606-96540917_260312_222747_903306,1_Zm00001eb023950_gene:96544606-96540917_260312_222747_903306,91,45.0,45.0,111,88,1091:88;1083:87;1086:87
10_Zm00001eb407020_gene:5957648-5953590_260312_222747_886827,10_Zm00001eb407020_gene:5957648-5953590_260312_222747_886827,91,45.0,45.0,103,90,1431:90;1093:85;1447:82
1_Zm00001eb063000_gene:301417124-301415684_260312_222747_886670,1_Zm00001eb063000_gene:301417124-301415684_260312_222747_886670,91,45.0,45.0,120,81,1428:81;1433:81;1446:81
1_Zm00001eb030330_gene:167063933-167069025_260312_222747_894865,1_Zm00001eb030330_gene:167063933-167069025_260312_222747_894865,91,45.0,45.0,111,87,1335:87;1184:86;1309:86
9_Zm00001eb400980_gene:154751110-154746930_260313_042329_033935,9_Zm00001eb400980_gene:154751110-154746930_260313_042329_033935,91,45.0,45.0,104,90,1356:90;1186:89;1182:88
1_Zm00001eb001640_gene:4856665-4854127_260312_222747_890656,1_Zm00001eb001640_gene:4856665-4854127_260312_222747_890656,91,45.0,45.0,105,87,1401:87;1369:86;1383:86
9_Zm00001eb386820_gene:98122331-98123000_260313_041527_782140,9_Zm00001eb386820_gene:98122331-98123000_260313_041527_782140,91,45.0,45.0,111,90,1065:90;1035:88;1073:88
7_Zm00001eb321110_gene:153819173-153820003_260313_025733_476302,7_Zm00001eb321110_gene:153819173-153820003_260313_025733_476302,91,45.0,45.0,109,90,996:90;1167:84;1022:81
9_Zm00001eb375020_gene:15885539-15884866_260313_041644_547759,9_Zm00001eb375020_gene:15885539-15884866_260313_041644_547759,91,45.0,45.0,113,87,1087:87;1092:87;1094:87
9_Zm00001eb378890_gene:27837365-27838716_260313_042625_307915,9_Zm00001eb378890_gene:27837365-27838716_260313_042625_307915,90,44.62222222222222,44.5,117,88,1334:89;1335:88;1312:85
2_Zm00001eb115720_gene:236767635-236763789_260312_235450_597115,2_Zm00001eb115720_gene:236767635-236763789_260312_235450_597115,91,45.0,45.0,111,86,1099:86;1100:86;1102:86
8_Zm00001eb366650_gene:172906240-172903924_260313_041120_701493,8_Zm00001eb366650_gene:172906240-172903924_260313_041120_701493,91,45.0,45.0,110,87,1180:88;1181:87;1171:84
4_Zm00001eb181410_gene:111283533-111284982_260313_011940_008097,4_Zm00001eb181410_gene:111283533-111284982_260313_011940_008097,91,45.0,45.0,120,84,2236:89;1267:84;1268:84
4_Zm00001eb184450_gene:141150768-141143816_260313_012435_563427,4_Zm00001eb184450_gene:141150768-141143816_260313_012435_563427,91,45.0,45.0,130,81,1353:81;1358:81;1362:81
1_Zm00001eb027490_gene:133530446-133531442_260312_222747_887619,1_Zm00001eb027490_gene:133530446-133531442_260312_222747_887619,91,45.0,45.0,121,84,1132:84;1145:84;1150:84
8_Zm00001eb342810_gene:65766812-65767400_260313_025814_179913,8_Zm00001eb342810_gene:65766812-65767400_260313_025814_179913,90,44.666666666666664,44.5,112,88,1061:88;1088:88;1073:87
1_Zm00001eb054110_gene:271105209-271108173_260312_222747_887709,1_Zm00001eb054110_gene:271105209-271108173_260312_222747_887709,91,45.0,45.0,104,89,1261:89;1266:88;974:87
1_Zm00001eb054100_gene:271099919-271102956_260312_222747_886927,1_Zm00001eb054100_gene:271099919-271102956_260312_222747_886927,91,45.0,45.0,108,89,1315:89;1328:89;1294:88
5_Zm00001eb223490_gene:37506987-37494541_260313_012717_560249,5_Zm00001eb223490_gene:37506987-37494541_260313_012717_560249,91,45.0,45.0,103,85,1414:86;1214:85;1176:81
6_Zm00001eb294870_gene:174168436-174169179_260313_024539_782710,6_Zm00001eb294870_gene:174168436-174169179_260313_024539_782710,91,45.0,45.0,104,89,1157:89;1169:88;1171:88
