file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
scaf_114_Zm00001eb437610_gene:87437-91199_260313_043418_972988,scaf_114_Zm00001eb437610_gene:87437-91199_260313_043418_972988,91,45.0,45.0,115,90,1342:90;1137:88;1169:84
8_Zm00001eb342880_gene:66309690-66312445_260313_041649_227245,8_Zm00001eb342880_gene:66309690-66312445_260313_041649_227245,91,45.0,45.0,107,90,1359:90;960:85;1308:82
5_Zm00001eb223490_gene:37506987-37494541_260313_013339_674693,5_Zm00001eb223490_gene:37506987-37494541_260313_013339_674693,93,45.16129032258065,45.0,101,89,1337:89;1361:87;1370:87
4_Zm00001eb203480_gene:228317872-228318240_260313_012459_282290,4_Zm00001eb203480_gene:228317872-228318240_260313_012459_282290,91,45.0,45.0,121,89,488:89;2351:87;2914:77
3_Zm00001eb145360_gene:174689294-174688377_260313_000018_255444,3_Zm00001eb145360_gene:174689294-174688377_260313_000018_255444,91,45.0,45.0,108,87,1191:87;1167:86;1205:86
1_Zm00001eb063000_gene:301417124-301415684_260312_222938_902308,1_Zm00001eb063000_gene:301417124-301415684_260312_222938_902308,91,45.0,45.0,112,87,1123:87;1128:87;1135:87
3_Zm00001eb163570_gene:235932374-235929673_260313_012410_007263,3_Zm00001eb163570_gene:235932374-235929673_260313_012410_007263,92,45.34782608695652,45.5,112,89,1197:91;1200:90;1208:89
4_Zm00001eb203250_gene:226829174-226832684_260313_012539_232138,4_Zm00001eb203250_gene:226829174-226832684_260313_012539_232138,109,50.38532110091743,52.0,110,108,1131:108;1141:106;1162:105
6_Zm00001eb284740_gene:145531674-145525276_260313_025724_847015,6_Zm00001eb284740_gene:145531674-145525276_260313_025724_847015,92,45.41304347826087,45.5,103,88,1137:88;1171:88;1163:87
5_Zm00001eb210790_gene:1365174-1371616_260313_013052_719135,5_Zm00001eb210790_gene:1365174-1371616_260313_013052_719135,93,45.41935483870968,46.0,112,92,1177:92;891:89;1221:89
1_Zm00001eb027490_gene:133530446-133531442_260312_222938_757301,1_Zm00001eb027490_gene:133530446-133531442_260312_222938_757301,91,45.0,45.0,107,88,1220:89;1093:88;1244:88
10_Zm00001eb421930_gene:116703177-116706315_260312_235451_887943,10_Zm00001eb421930_gene:116703177-116706315_260312_235451_887943,90,44.522222222222226,44.5,108,85,1201:85;1204:85;1210:85
1_Zm00001eb039880_gene:210953321-210952356_260312_222939_000679,1_Zm00001eb039880_gene:210953321-210952356_260312_222939_000679,90,44.666666666666664,44.5,103,89,1052:89;1084:87;1164:82
7_Zm00001eb310510_gene:99189382-99188939_260313_025751_500568,7_Zm00001eb310510_gene:99189382-99188939_260313_025751_500568,91,45.0,45.0,114,90,2008:90;2036:87;975:84
8_Zm00001eb356980_gene:142174240-142169595_260313_042246_310266,8_Zm00001eb356980_gene:142174240-142169595_260313_042246_310266,93,45.634408602150536,46.0,106,92,1151:92;1317:90;1339:89
6_Zm00001eb271400_gene:88113437-88113169_260313_025526_751357,6_Zm00001eb271400_gene:88113437-88113169_260313_025526_751357,91,45.0,45.0,115,88,821:88;832:88;929:88
8_Zm00001eb336560_gene:17448827-17446356_260313_042341_205862,8_Zm00001eb336560_gene:17448827-17446356_260313_042341_205862,91,45.0,45.0,106,88,1448:88;1471:88;857:84
10_Zm00001eb407020_gene:5957648-5953590_260312_222938_664847,10_Zm00001eb407020_gene:5957648-5953590_260312_222938_664847,94,45.8936170212766,46.5,110,90,1330:90;1264:89;1093:87
2_Zm00001eb094040_gene:156950830-156948039_260312_235752_219131,2_Zm00001eb094040_gene:156950830-156948039_260312_235752_219131,91,45.0,45.0,102,90,1104:90;1140:88;1131:86
5_Zm00001eb240160_gene:159176872-159167469_260313_013024_833387,5_Zm00001eb240160_gene:159176872-159167469_260313_013024_833387,94,46.08510638297872,46.5,110,92,1180:92;893:91;1186:88
1_Zm00001eb051900_gene:263002045-263008387_260312_222938_933205,1_Zm00001eb051900_gene:263002045-263008387_260312_222938_933205,93,45.24731182795699,46.0,111,86,1169:86;1158:85;1126:84
4_Zm00001eb208550_gene:247111322-247111058_260313_012738_910857,4_Zm00001eb208550_gene:247111322-247111058_260313_012738_910857,91,45.0,45.0,115,89,2095:89;2093:82;2089:81
10_Zm00001eb433670_gene:150371812-150367842_260312_235637_114049,10_Zm00001eb433670_gene:150371812-150367842_260312_235637_114049,92,45.47826086956522,45.5,112,90,1257:90;1280:89;1279:87
10_Zm00001eb419010_gene:97910770-97908755_260312_235620_874552,10_Zm00001eb419010_gene:97910770-97908755_260312_235620_874552,91,45.0,45.0,114,87,1830:87;1167:83;1188:83
1_Zm00001eb027720_gene:140973273-140967581_260312_222938_839191,1_Zm00001eb027720_gene:140973273-140967581_260312_222938_839191,107,48.99065420560748,52.0,103,106,1099:106;934:104;1130:104
3_Zm00001eb143660_gene:164887798-164893906_260313_012219_345148,3_Zm00001eb143660_gene:164887798-164893906_260313_012219_345148,92,45.369565217391305,45.5,100,91,1298:91;1203:88;1215:88
6_Zm00001eb273970_gene:101489682-101489079_260313_025000_237120,6_Zm00001eb273970_gene:101489682-101489079_260313_025000_237120,91,45.0,45.0,112,82,1035:84;1072:82;1075:82
1_Zm00001eb016640_gene:58790622-58805167_260312_222938_855802,1_Zm00001eb016640_gene:58790622-58805167_260312_222938_855802,114,51.18421052631579,56.5,100,109,1094:109;1301:109;1312:109
10_Zm00001eb408100_gene:10249260-10254317_260312_235526_180185,10_Zm00001eb408100_gene:10249260-10254317_260312_235526_180185,94,45.808510638297875,45.5,114,91,1245:91;1210:90;1204:88
8_Zm00001eb363020_gene:164672544-164668894_260313_030209_878916,8_Zm00001eb363020_gene:164672544-164668894_260313_030209_878916,91,45.0,45.0,132,87,1453:90;1323:87;1009:86
2_Zm00001eb075710_gene:24842101-24840278_260312_235757_123247,2_Zm00001eb075710_gene:24842101-24840278_260312_235757_123247,91,45.0,45.0,113,89,1238:89;1252:86;1274:86
9_Zm00001eb375020_gene:15885539-15884866_260313_042728_920018,9_Zm00001eb375020_gene:15885539-15884866_260313_042728_920018,91,45.0,45.0,113,88,933:88;1971:85;1101:83
9_Zm00001eb397020_gene:143827986-143847918_260313_043337_973449,9_Zm00001eb397020_gene:143827986-143847918_260313_043337_973449,97,46.93814432989691,48.0,109,96,897:96;1105:95;1104:94
8_Zm00001eb359030_gene:149935019-149936675_260313_041733_507788,8_Zm00001eb359030_gene:149935019-149936675_260313_041733_507788,91,45.0,45.0,122,87,1139:87;1140:86;1145:86
1_Zm00001eb056160_gene:279299032-279297394_260312_222938_798546,1_Zm00001eb056160_gene:279299032-279297394_260312_222938_798546,91,45.0,45.0,106,84,1241:84;1252:84;1257:84
6_Zm00001eb261480_gene:12602917-12605884_260313_025350_774784,6_Zm00001eb261480_gene:12602917-12605884_260313_025350_774784,88,43.5,43.5,109,86,1267:86;1268:85;1237:77
9_Zm00001eb400980_gene:154751110-154746930_260313_042837_260856,9_Zm00001eb400980_gene:154751110-154746930_260313_042837_260856,98,46.91836734693877,48.5,103,96,1211:96;1214:95;1323:95
3_Zm00001eb150760_gene:193518324-193530789_260313_000008_007527,3_Zm00001eb150760_gene:193518324-193530789_260313_000008_007527,91,45.0,45.0,104,89,1156:89;1124:87;1175:85
8_Zm00001eb344240_gene:73998164-73997215_260313_030449_280914,8_Zm00001eb344240_gene:73998164-73997215_260313_030449_280914,93,45.666666666666664,46.0,99,92,1124:92;1121:91;1101:90
4_Zm00001eb184580_gene:142574496-142573917_260313_012813_152587,4_Zm00001eb184580_gene:142574496-142573917_260313_012813_152587,91,45.0,45.0,109,88,1026:88;991:87;1053:87
9_Zm00001eb378890_gene:27837365-27838716_260313_043249_462164,9_Zm00001eb378890_gene:27837365-27838716_260313_043249_462164,93,45.72043010752688,46.0,113,90,1144:92;1132:90;1303:87
7_Zm00001eb326910_gene:172867159-172867622_260313_025840_046053,7_Zm00001eb326910_gene:172867159-172867622_260313_025840_046053,91,45.0,45.0,117,90,2086:90;2000:89;1018:85
1_Zm00001eb005450_gene:15194902-15196258_260312_222938_658558,1_Zm00001eb005450_gene:15194902-15196258_260312_222938_658558,90,44.55555555555556,44.5,104,86,1273:86;1284:86;1267:84
4_Zm00001eb184450_gene:141150768-141143816_260313_012849_090250,4_Zm00001eb184450_gene:141150768-141143816_260313_012849_090250,91,45.0,45.0,105,87,840:87;1115:84;1133:84
4_Zm00001eb167060_gene:6913147-6911220_260313_012818_221152,4_Zm00001eb167060_gene:6913147-6911220_260313_012818_221152,91,45.0,45.0,108,89,1159:89;1329:85;1333:85
4_Zm00001eb181410_gene:111283533-111284982_260313_012555_788627,4_Zm00001eb181410_gene:111283533-111284982_260313_012555_788627,91,45.0,45.0,122,77,1789:85;1121:77;1122:77
1_Zm00001eb063600_gene:302758316-302752202_260312_222938_850288,1_Zm00001eb063600_gene:302758316-302752202_260312_222938_850288,95,46.05263157894737,46.0,117,94,1252:94;1230:93;1264:92
2_Zm00001eb082430_gene:50788572-50787160_260312_235806_169906,2_Zm00001eb082430_gene:50788572-50787160_260312_235806_169906,90,44.68888888888889,44.5,110,89,1115:89;1112:86;1162:86
10_Zm00001eb408870_gene:14418778-14418373_260312_235433_665441,10_Zm00001eb408870_gene:14418778-14418373_260312_235433_665441,91,45.0,45.0,121,90,2020:90;2019:89;2556:75
10_Zm00001eb414910_gene:73564824-73566176_260312_235701_591498,10_Zm00001eb414910_gene:73564824-73566176_260312_235701_591498,91,45.0,45.0,112,83,1194:83;1197:83;1200:83
2_Zm00001eb117690_gene:241361253-241363418_260312_235851_386680,2_Zm00001eb117690_gene:241361253-241363418_260312_235851_386680,91,45.0,45.0,108,89,1226:89;1201:88;1228:85
1_Zm00001eb009610_gene:29968953-29975857_260312_222938_900070,1_Zm00001eb009610_gene:29968953-29975857_260312_222938_900070,92,45.43478260869565,45.5,109,90,1343:90;1346:90;1297:89
1_Zm00001eb001640_gene:4856665-4854127_260312_222938_750101,1_Zm00001eb001640_gene:4856665-4854127_260312_222938_750101,91,45.0,45.0,114,88,1003:88;897:87;1192:85
8_Zm00001eb368640_gene:176586254-176583214_260313_041912_521134,8_Zm00001eb368640_gene:176586254-176583214_260313_041912_521134,91,45.0,45.0,118,87,1312:87;1316:87;1348:85
3_Zm00001eb127980_gene:38168137-38168941_260313_000024_613368,3_Zm00001eb127980_gene:38168137-38168941_260313_000024_613368,91,45.0,45.0,100,87,1119:90;1107:87;1112:87
1_Zm00001eb054110_gene:271105209-271108173_260312_222938_878077,1_Zm00001eb054110_gene:271105209-271108173_260312_222938_878077,91,45.0,45.0,110,89,1101:89;1247:88;1261:88
6_Zm00001eb266790_gene:45514691-45515306_260313_025459_642701,6_Zm00001eb266790_gene:45514691-45515306_260313_025459_642701,90,44.72222222222222,44.5,103,84,1060:88;1106:85;1053:84
8_Zm00001eb366650_gene:172906240-172903924_260313_041739_424719,8_Zm00001eb366650_gene:172906240-172903924_260313_041739_424719,91,45.0,45.0,104,89,1055:89;1205:84;1214:84
6_Zm00001eb271000_gene:84325957-84326421_260313_024917_887186,6_Zm00001eb271000_gene:84325957-84326421_260313_024917_887186,91,45.0,45.0,110,88,861:88;939:85;1027:82
8_Zm00001eb342810_gene:65766812-65767400_260313_030346_651008,8_Zm00001eb342810_gene:65766812-65767400_260313_030346_651008,92,45.41304347826087,45.5,105,89,1930:90;1090:89;1055:88
2_Zm00001eb071230_gene:11386081-11383455_260312_235824_351819,2_Zm00001eb071230_gene:11386081-11383455_260312_235824_351819,89,44.06741573033708,44.0,126,77,1251:77;1254:77;1258:77
2_Zm00001eb076880_gene:28560382-28555257_260312_235834_887526,2_Zm00001eb076880_gene:28560382-28555257_260312_235834_887526,92,45.369565217391305,45.5,103,89,1200:89;1493:89;1209:86
4_Zm00001eb201760_gene:216956666-216952328_260313_012914_219461,4_Zm00001eb201760_gene:216956666-216952328_260313_012914_219461,91,45.0,45.0,113,74,1421:74;1445:74;1170:72
2_Zm00001eb070510_gene:9877377-9881780_260312_235837_391289,2_Zm00001eb070510_gene:9877377-9881780_260312_235837_391289,94,46.04255319148936,46.5,108,91,1372:91;1377:91;1378:91
6_Zm00001eb294870_gene:174168436-174169179_260313_025350_493079,6_Zm00001eb294870_gene:174168436-174169179_260313_025350_493079,91,45.0,45.0,114,88,1870:88;1059:84;1071:84
6_Zm00001eb266960_gene:46828842-46830572_260313_025748_895046,6_Zm00001eb266960_gene:46828842-46830572_260313_025748_895046,91,45.0,45.0,122,89,1065:89;1086:89;1157:87
1_Zm00001eb023950_gene:96544606-96540917_260312_222938_840931,1_Zm00001eb023950_gene:96544606-96540917_260312_222938_840931,91,45.0,45.0,106,86,1090:88;1091:86;1124:84
2_Zm00001eb084460_gene:62348949-62350014_260312_235810_444765,2_Zm00001eb084460_gene:62348949-62350014_260312_235810_444765,91,45.0,45.0,101,90,904:90;1275:88;981:87
9_Zm00001eb402310_gene:157734775-157739869_260313_042805_279810,9_Zm00001eb402310_gene:157734775-157739869_260313_042805_279810,92,45.23913043478261,45.5,103,91,1137:91;901:90;920:89
4_Zm00001eb202570_gene:222112764-222115449_260313_012718_371320,4_Zm00001eb202570_gene:222112764-222115449_260313_012718_371320,91,45.0,45.0,117,90,1146:90;1156:89;1132:88
4_Zm00001eb188110_gene:164183099-164186206_260313_012755_225680,4_Zm00001eb188110_gene:164183099-164186206_260313_012755_225680,92,45.19565217391305,45.5,103,91,880:91;939:88;1322:87
7_Zm00001eb301180_gene:9508066-9507628_260313_030009_473505,7_Zm00001eb301180_gene:9508066-9507628_260313_030009_473505,91,45.0,45.0,114,89,707:89;923:82;955:82
