file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
4_Zm00001eb208550_gene:247111322-247111058_260313_053708_405372,4_Zm00001eb208550_gene:247111322-247111058_260313_053708_405372,91,45.0,45.0,120,81,660:90;623:81;2103:79
6_Zm00001eb294870_gene:174168436-174169179_260313_065832_302706,6_Zm00001eb294870_gene:174168436-174169179_260313_065832_302706,91,45.0,45.0,111,86,852:86;854:86;1078:83
1_Zm00001eb023950_gene:96544606-96540917_260313_023205_158821,1_Zm00001eb023950_gene:96544606-96540917_260313_023205_158821,98,47.54081632653061,48.5,111,97,1064:97;1067:96;1070:95
2_Zm00001eb094040_gene:156950830-156948039_260313_040321_007349,2_Zm00001eb094040_gene:156950830-156948039_260313_040321_007349,142,58.15492957746479,67.5,110,140,1427:141;1398:140;1383:139
6_Zm00001eb290990_gene:166342427-166341276_260313_065818_322643,6_Zm00001eb290990_gene:166342427-166341276_260313_065818_322643,94,45.98936170212766,46.5,107,92,905:92;1163:89;1123:85
2_Zm00001eb084460_gene:62348949-62350014_260313_040546_316465,2_Zm00001eb084460_gene:62348949-62350014_260313_040546_316465,94,46.01063829787234,46.5,125,89,1015:89;1013:87;966:86
1_Zm00001eb001640_gene:4856665-4854127_260313_023205_158740,1_Zm00001eb001640_gene:4856665-4854127_260313_023205_158740,105,49.34285714285714,52.0,105,104,1032:104;1389:101;1007:100
4_Zm00001eb203480_gene:228317872-228318240_260313_053056_765653,4_Zm00001eb203480_gene:228317872-228318240_260313_053056_765653,90,44.67777777777778,44.5,121,81,2092:81;2152:81;733:80
1_Zm00001eb056780_gene:281517778-281521970_260313_023205_158835,1_Zm00001eb056780_gene:281517778-281521970_260313_023205_158835,362,47.610497237569064,50.0,94,359,970:360;1018:359;1025:356
7_Zm00001eb326910_gene:172867159-172867622_260313_071905_833964,7_Zm00001eb326910_gene:172867159-172867622_260313_071905_833964,91,45.0,45.0,112,83,1024:85;951:84;1017:84
10_Zm00001eb414910_gene:73564824-73566176_260313_040252_945739,10_Zm00001eb414910_gene:73564824-73566176_260313_040252_945739,92,45.32608695652174,45.5,114,90,929:90;1798:90;897:77
10_Zm00001eb407020_gene:5957648-5953590_260313_023205_158801,10_Zm00001eb407020_gene:5957648-5953590_260313_023205_158801,258,62.08139534883721,71.0,112,255,1014:255;1019:255;989:254
3_Zm00001eb150760_gene:193518324-193530789_260313_040905_388944,3_Zm00001eb150760_gene:193518324-193530789_260313_040905_388944,92,45.25,45.5,130,89,1756:89;1829:89;1840:85
9_Zm00001eb378890_gene:27837365-27838716_260313_085939_526743,9_Zm00001eb378890_gene:27837365-27838716_260313_085939_526743,340,65.44411764705882,72.0,114,336,1326:336;1009:334;1102:334
10_Zm00001eb433670_gene:150371812-150367842_260313_040232_928495,10_Zm00001eb433670_gene:150371812-150367842_260313_040232_928495,345,61.65797101449275,67.0,116,344,1257:344;1217:342;1041:341
4_Zm00001eb181410_gene:111283533-111284982_260313_053337_455910,4_Zm00001eb181410_gene:111283533-111284982_260313_053337_455910,91,45.0,45.0,128,87,1861:87;1852:85;1857:84
scaf_398_Zm00001eb441520_gene:26000-29975_260313_090718_929028,scaf_398_Zm00001eb441520_gene:26000-29975_260313_090718_929028,142,53.71830985915493,64.5,113,140,1023:140;1113:140;1117:136
9_Zm00001eb397320_gene:144850322-144855849_260313_085727_939785,9_Zm00001eb397320_gene:144850322-144855849_260313_085727_939785,139,56.798561151079134,66.0,108,135,989:135;992:134;993:134
