file,gene,n_individuals,avg_mut_per_ind,median_mut_per_ind,unique_positions,max_count_pos_base,top_positions
1_Zm00001eb063600_gene:302758316-302752202_260313_023205_113761,1_Zm00001eb063600_gene:302758316-302752202_260313_023205_113761,91,45.0,45.0,115,90,1375:90;1389:88;1397:87
1_Zm00001eb001640_gene:4856665-4854127_260313_023205_113425,1_Zm00001eb001640_gene:4856665-4854127_260313_023205_113425,92,45.380434782608695,45.5,117,89,1401:89;1434:87;1437:87
1_Zm00001eb016640_gene:58790622-58805167_260313_023205_113523,1_Zm00001eb016640_gene:58790622-58805167_260313_023205_113523,91,45.0,45.0,100,87,1426:87;1428:87;1433:87
2_Zm00001eb082430_gene:50788572-50787160_260313_035909_893974,2_Zm00001eb082430_gene:50788572-50787160_260313_035909_893974,91,45.0,45.0,106,90,1256:90;1292:87;987:86
6_Zm00001eb266790_gene:45514691-45515306_260313_064815_831987,6_Zm00001eb266790_gene:45514691-45515306_260313_064815_831987,91,45.0,45.0,107,90,1088:90;1083:89;1105:88
10_Zm00001eb419010_gene:97910770-97908755_260313_035638_388240,10_Zm00001eb419010_gene:97910770-97908755_260313_035638_388240,91,45.0,45.0,106,87,1020:90;678:87;609:85
7_Zm00001eb326910_gene:172867159-172867622_260313_065832_553794,7_Zm00001eb326910_gene:172867159-172867622_260313_065832_553794,91,45.0,45.0,99,89,989:89;264:87;193:85
4_Zm00001eb174050_gene:40907305-40901229_260313_052157_393411,4_Zm00001eb174050_gene:40907305-40901229_260313_052157_393411,91,45.0,45.0,121,90,1249:90;1269:86;1271:86
9_Zm00001eb397020_gene:143827986-143847918_260313_083516_629094,9_Zm00001eb397020_gene:143827986-143847918_260313_083516_629094,91,45.0,45.0,103,88,1407:89;1382:88;1453:88
2_Zm00001eb071230_gene:11386081-11383455_260313_040007_232369,2_Zm00001eb071230_gene:11386081-11383455_260313_040007_232369,91,45.0,45.0,124,90,1228:90;1225:89;1238:85
7_Zm00001eb298790_gene:2369631-2371252_260313_070249_110150,7_Zm00001eb298790_gene:2369631-2371252_260313_070249_110150,91,45.0,45.0,118,89,940:90;850:89;885:86
1_Zm00001eb009610_gene:29968953-29975857_260313_023205_113370,1_Zm00001eb009610_gene:29968953-29975857_260313_023205_113370,89,44.0,44.0,100,81,1478:81;1487:81;1491:81
10_Zm00001eb419060_gene:98307625-98308866_260313_035805_759472,10_Zm00001eb419060_gene:98307625-98308866_260313_035805_759472,91,45.0,45.0,116,88,944:88;945:88;948:87
9_Zm00001eb403070_gene:158933007-158950363_260313_081651_164055,9_Zm00001eb403070_gene:158933007-158950363_260313_081651_164055,92,45.26086956521739,45.5,110,91,1379:91;1400:90;1006:88
6_Zm00001eb266960_gene:46828842-46830572_260313_065746_224676,6_Zm00001eb266960_gene:46828842-46830572_260313_065746_224676,91,45.0,45.0,108,90,873:90;900:89;925:87
4_Zm00001eb184450_gene:141150768-141143816_260313_053113_878022,4_Zm00001eb184450_gene:141150768-141143816_260313_053113_878022,91,45.0,45.0,115,84,1409:85;1422:84;1423:84
